food,Dietary Fiber,Cholesterol
bean with frankfurters soup,0,12.5
pea soup,4.9,0
turkey soup,0,9.4
stockpot soup,0,7.7
hot sour soup,1.2,48.9
cheese soup,5.5,7.4
cream of potato soup,3.3,2.5
bean with bacon soup,9,2.7
fish stock,0,2.3
split pea soup with ham,4.6,16.2
beef broth soup,0,0
lentil soup with ham,0,7.4
tomato soup,1.6,0
fish broth,0,0
chili without beans canned,0,50.4
minestrone soup,2,2.5
clam chowder soup,3,5
tomato vegetable soup,0.7,0
cream of rice coup,0.2,0
cream of celery soup,1.5,27.7
chicken gravy,1,4.8
tomato rice soup,3.4,2.6
vegetable beef soup,4.4,8.8
tomato beef noodle soup,3,7.5
oyster stew soup,0,27.1
ramen noodle soup dry,2,0
chicken noodle soup,2.7,24.2
chicken bouillon dry,0,0.5
cream of asparagus soup,1,10.1
turkey noodle soup,1.5,10.1
cream of shrimp soup,0.5,32.8
bean with pork soup,15.3,5.2
chicken broth,0,0
beef broth powder,0,0.4
split pea soup,4.8,5.1
escarole soup,0,5.5
chicken stock,0,7.2
tomato bisque soup,2.1,10.3
shark fin soup,0,4.3
onion soup,1.7,0
chicken gumbo soup,4,7.6
crab soup,2.4,41.5
tripe soup,0,118
little india little lunch,0,0
original chicken sandwich chick fil a,0,0
sausage mcmuffin mcdonalds,1.6,44.9
sausage mcgriddles mcdonalds,1.4,32.4
crispy chicken drumstick kentucky fried chicken,0,56.2
chicken crispy drumsticks kentucky fried chicken,0,62.1
biscuit kentucky fried chicken,0.8,0.5
english muffin mcdonalds,0.2,20.7
french fries mcdonalds,4.6,0
hotdog,0,69.8
french fries burger king,2.1,0
original taco with beef cheese lettuce taco bell,2.7,19.3
hotdog with chili,0,51.3
chicken crispy wings kentucky fried chicken,0,47.1
egg white delight mcdonalds,0,0
french toast sticks burger king,0.3,0
mcchicken mcdonalds,1.7,35.4
nachos supreme taco bell,8,37.1
crispy chicken wing kentucky fried chicken,0,64.2
chicken strips burger king,0.5,15.8
crispy chicken breast kentucky fried chicken,0,121.8
sausage biscuit mcdonalds,1.4,33.9
sausage burrito mcdonalds,1.2,172.9
onion rings fried,0.2,0
onion rings burger king,2.5,0
turkey patty fried,0.1,21
hotcakes with syrup mcdonalds,2,19.9
crispy chicken thigh kentucky fried chicken,0,107.4
corn dog,0.8,34.3
chicken box mcdonalds,0,0
potato wedges kentucky fried chicken,4.2,0
scrambled eggs mcdonalds,0,217.8
