food,Water
crispy chicken drumstick kentucky fried chicken,26.6
chicken crispy drumsticks kentucky fried chicken,29.3
biscuit kentucky fried chicken,15.1
english muffin mcdonalds,0
french fries mcdonalds,42.9
hotdog,83.6
french fries burger king,32.5
original taco with beef cheese lettuce taco bell,39.3
hotdog with chili,54.5
chicken crispy wings kentucky fried chicken,18.4
egg white delight mcdonalds,0
french toast sticks burger king,7
mcchicken mcdonalds,60.4
nachos supreme taco bell,104.9
crispy chicken wing kentucky fried chicken,23.7
chicken strips burger king,15.5
crispy chicken breast kentucky fried chicken,92
sausage biscuit mcdonalds,40.6
sausage burrito mcdonalds,55.8
onion rings fried,1.6
onion rings burger king,22.3
turkey patty fried,13.9
hotcakes with syrup mcdonalds,89.7
crispy chicken thigh kentucky fried chicken,59.8
corn dog,39.2
chicken box mcdonalds,0
potato wedges kentucky fried chicken,59.2
scrambled eggs mcdonalds,34.1
egg mcmuffin mcdonalds,66.3
nachos taco bell,33.9
biscuit large mcdonalds,27.6
crispy chicken strips kentucky fried chicken,22.5
hotcakes mcdonalds,23.9
chicken crispy breast kentucky fried chicken,72
hotcakes sausage mcdonalds,107.4
chicken mcnuggets mcdonalds,7.5
chips chipotle,0
biscuit mcdonalds,23.3
rice bowl with chicken,19.6
spaghetti with meatballs,157.6
meat ravioli canned,205.1
cheese ravioli canned,195.8
premium crispy chicken ranch blt sandwich mcdonalds,116.7
steak sandwich,104.2
cheeseburger burger king,59.3
cheeseburger mcdonalds,53.6
double cheeseburger,107.5
double hamburger,206.8
premium grilled chicken classic sandwich mcdonalds,114.6
big n tasty with cheese mcdonalds,140.1
premium grilled chicken club sandwich mcdonalds,117.1
quarter pounder mcdonalds,86.1
premium crispy chicken classic sandwich mcdonalds,119.6
veggie burger,42.8
quarter pounder with cheese mcdonalds,97.3
beef sandwich steak raw,31.4
cheeseburger,55.3
premium grilled chicken ranch blt sandwich mcdonalds,108.3
double whopper with cheese burger king,212.6
big mac mcdonalds,112.3
sandwich with cold cuts,221
filet o fish mcdonalds,61.3
hand breaded chicken tenders carls jr,0
grilled chicken sandwich wendys,0
sandwich with roast beef,127.4
hamburger burger king,45.5
big n tasty mcdonalds,133.9
roast beef sandwich,74.4
roast beef sandwich with cheese,76.6
hamburger,43.5
premium fish sandwich burger king,106.6
whopper burger king,173.5
sandwich with tuna salad,139
original chicken sandwich burger king,89
double whopper burger king,206.8
premium crispy chicken club sandwich mcdonalds,122
hamburger mcdonalds,42.3
pepperoni pizza dominos,49
sausage pizza,49.9
pepperoni pizza,46.4
pepperoni pizza pizza hut,39.7
cheese pizza pizza hut,41.6
cheese pizza,46.2
cheese pizza dominos,48.5
meat vegetable pizza,68.5
sucker raw,126.7
northern pike raw,312.5
haddock cooked,119.5
burbot cooked,66.1
pollock cooked,217.5
rainbow smelt raw,22.3
whitefish cooked,100.2
walleye pike raw,126.1
carp cooked,118.4
wolffish cooked,176.7
snapper cooked,119.6
roe cooked,16.6
anchovy raw,20.8
herring raw,132.6
cod raw,187.6
tilapia raw,90.6
