food,Nutrition Density
veal rib cooked,121
veal meat cooked,135.1
beef rib roasted,42.8
veal sirloin raw,175.3
beef top loin filet grilled,58.507
beef under blade steak cooked,191.483
mock tender steak raw,77.128
ground beef cooked,62.697
ground beef raw,317.5
beef diced asda,11.2
veal rib raw,189.3
ground veal raw,11.8
t bone steak cooked,170.6
veal leg round raw,135.5
beef top sirloin steak raw,355.6
beef plate steak grilled,85.652
ground veal cooked,149.3
veal leg round cooked,141
porterhouse steak raw,208.7
veal shank raw,196.8
veal breast cooked,151.5
corned beef canned,11.7
rib eye steak grilled,146.262
veal shoulder raw,0
t bone steak raw,198.7
sirloin steak,65.5
mock tender steak cooked,36.2
beef round steak cooked,96.5
chuck blade roast raw,220.5
beef shoulder steak raw,100.218
beef top blade cooked,40.2
corned beef cooked,9.905
beef round steak raw,239.8
beef shoulder steak grilled,42.589
chuck eye steak raw,197.159
beef bottom round steak cooked,235.7
porterhouse steak cooked,45.3
beef under blade steak raw,283.198
beef plate steak raw,120.656
beef meat canned,22.6
beef breakfast strips raw,18.4
beef brisket cooked,106.5
corned beef raw,296.8
beef mince meat asda,9.9
pastrami beef fat free,6.6
rib eye steak raw,149.722
beef tenderloin steak cooked,90
chuck blade roast cooked,167.9
cured beef dried,1.333
beef flank steak cooked,106.5
chuck eye steak grilled,142.79
veal meat raw,190.3
veal loin cooked,21.6
veal loin raw,12.6
veal shoulder cooked,150.2
beef tenderloin steak raw,102
veal shank cooked,139.6
beef brisket raw,205
pastrami beef,28.8
beef flank steak raw,16.3
beef top sirloin steak cooked,111.4
veal breast raw,180.3
beef rib raw,241.7
beef jerky,19.4
beef breakfast strips cooked,9
pork olive loaf,41.265
beef luncheon meat jellied,10
turkey pastrami,13.579
pork salami,7.3
canadian style bacon raw,10.9
honey loaf,47.5
pork beef salami,5.334
beef pork bologna,39.702
pork beef salami cooked,8.2
pork breakfast strips raw,19.4
pickle pimiento loaf,59.105
luxury loaf,18.3
mortadella,9.7
pork bologna,13.4
turkey salami cooked,3.796
pepperoni beef,1.902
peppered loaf,23.7
luncheon meat beef,3.3
lebanon bologna,30.243
chicken pork bologna,71.678
turkey roll,16.4
beef salami cooked,11.8
yachtwurst cooked,33
italian salami,7.2
turkey ham,9.2
turkey bologna,48.096
sliced turkey breast,3.572
luncheon meat pork beef,15.9
beef bologna,12.962
turkey bacon cooked,58.8
ground emu cooked,37.595
ostrich leg raw,26.8
ostrich strip raw,30.4
emu fillet cooked,173.9
ostrich tenderloin raw,30.7
emu drums cooked,198.375
green turtle raw,39.567
ground bison cooked,128.2
goat meat raw,175.7
ground emu raw,44.2
ground ostrich raw,42.3
ostrich tip cooked,33.9
caribou cooked,57.4
ground ostrich cooked,31.712
ostrich leg cooked,34.1
ostrich top loin cooked,27.982
ostrich strip cooked,37
ostrich tip raw,27.3
ostrich round raw,28
ground bison raw,35.102
ostrich fan raw,29.6
ostrich top loin raw,28.7
veal brain cooked,175.5
veal tongue cooked,135.3
beef heart cooked,9.714
turkey liver cooked,47.3
veal thymus cooked,20
beef brain cooked,150.7
beef pancreas cooked,184.8
beef tripe cooked,84.6
chicken gizzard cooked,77.3
pork pancreas cooked,156.1
beef tongue cooked,14.3
lamb heart cooked,117.1
beef spleen cooked,403.3
veal kidneys cooked,132.9
chicken heart cooked,93.286
lamb tongue cooked,156.8
veal heart cooked,115.6
chicken liver cooked,15.238
lamb pancreas cooked,166.4
veal spleen cooked,280.7
lamb liver cooked,234.1
turkey gizzard cooked,26.231
lamp spleen cooked,321.4
turkey heart cooked,12.759
beef liver cooked,37.539
lamb lungs cooked,257.4
pork brain cooked,177.6
goose liver,107.4
pork kidneys cooked,82.7
lamb brain cooked,167.8
pork heart cooked,63.745
lamb kidneys cooked,180.4
beef lungs cooked,221.858
veal pancreas cooked,168.1
pork liver cooked,322.4
beef kidneys cooked,16
turkey giblets cooked,32.643
duck liver raw,37.3
veal liver cooked,43.638
pork lungs cooked,156
veal lungs cooked,197.9
beef thymus cooked,337.3
ham,16.6
pork meat cooked,39.657
bacon roasted,6.516
pork top loin roasts raw,816.574
pork blade roll raw,13.143
pork backribs raw,719.224
pork spareribs cooked,191.598
pork stomach cooked,12.779
honey smoked ham cooked,19
boston butt steak raw,212.848
pork sirloin chops cooked,28.239
pork country style ribs raw,69.223
ham patties,33.6
pork feet cooked,11
ground pork cooked,220.513
pork centre loin chops cooked,59
pork leg cap steak cooked,77.6
pork blade chops raw,152.089
pork tenderloin raw,157.3
pork sirloin chops raw,314.931
pork leg cap steak raw,75.9
pork carcass raw,313.327
pork splean cooked,234
chopped ham,10.9
pork centre loin chops raw,98.301
pork blade chops cooked,59.882
boston butt steak cooked,130.498
pork meat raw,25.261
pork top loin chops raw,66.684
pork blade steak braised,115.063
pork boston steaks cooked,135.049
bacon cooked,6.747
pickled pork hocks,14.146
pork boston roast cooked,188.948
canadian style bacon grilled,10.6
ham steak,34.8
pork backfat,425.932
bacon baked,6.673
pork arm picnic raw,1202.1
salt pork raw,26
pork arm picnic cooked,1264.074
pork top loin chops cooked,51.481
ground pork raw,67.15
pork shoulder raw,235.572
pork chitterlings cooked,9.329
pork breakfast strips cooked,9.3
pork blade roll roasted,196.3
pork tail cooked,186
pork centre rib roasts raw,103.4
pork centre rib roasts roasted,331.5
minced ham,10.4
ham roasted,83.3
pork loin raw,60.563
pork backribs roasted,397.1
pork belly raw,309.486
ham raw,51.697
ham extra lean,10.3
pork feet pickled,245.019
pork shoulder cooked,95.226
pork top loin roasts roasted,306.4
pork skin,35.03
pork country style ribs cooked,68.402
pork blade steak raw,174.7
pork tenderloin cooked,34.679
pork loin cooked,56.575
pork ears cooked,51.6
pork tongue cooked,158
pork spareribs raw,710.5
ham patties grilled,33.9
chicken skin roasted,85.844
turkey breast raw,976.092
ground turkey raw,54.095
chicken wing cooked,11.058
turkey roast roasted,49.7
pheasant meat raw,403.9
chicken back raw,34.564
chicken back cooked,21.425
chicken leg fried,104.858
chicken feet cooked,558.5
turkey steak fried,41.229
turkey taco meat cooked,179.7
chicken leg raw,145.973
chicken meat raw,434.3
chicken neck cooked,25.616
chicken drumstick fried,46.519
quail egg,8.343
duck meat cooked,85.544
chicken wing roasted,35.155
quail meat cooked,276.4
goose meat cooked,88.168
chicken breast cooked,30.552
chicken neck raw,30.146
duck egg,67.2
pheasant breast raw,136.3
duck meat raw,850.5
squab meat raw,125.5
chicken drumstick raw,50.075
turkey meat roasted,76.629
chicken breast raw,72.834
ground chicken cooked,87.678
turkey wing cooked,121.3
goose meat raw,1117.2
turkey breast roasted,1011.2
chicken fajita strips,3.66
crispy chicken strips tyson,6
chocolate pudding fat free,72.4
tapioca pudding,108.8
tapioca pudding fat free,84.5
rice pudding,27.329
corn pudding,69.795
chocolate pudding,123.424
lemon pudding,188.516
vanilla pudding,115.796
profeel proteiinirahka valio,194.7
cottage cheese creamed,20.576
zaziki milfina,4.4
cottage cheese low fat,174.683
cottage cheese nonfat,150.072
vanilla yogurt low fat,470.265
classique yogurt plain 2 liberte,6.2
yoplait light strawberry yogurt yoplait,0.061
vanilla yogurt,326.243
chocolate yogurt,175
yogurt parfait,210.272
yogurt,199.51
chocolate frozen yogurt,227.929
frozen yogurt,225.163
yogurt low fat,484.517
vanilla yoghurt oikos,1.8
fruit yogurt,243.671
danone low fat alsafi,1.743
fruit n yogurt parfait mcdonalds,187.9
triple zero greek yogurt dannon oikos,22.598
greek yogurt,211.251
chocolate rasberry protein mini proteinfx,2.9
gushers fruit gushers,6.2
egg fried,42.904
glucerna abbott,169.3
sports drink,22.4
peanut butter cookie protein syntha 6,11
hanfprotein pulver rohkostqualitat veganz,17.3
smoothie high protein creamy chocolate slimfast,62.6
egg large,9.3
boysenberries frozen,65.7
malt beverage,37.8
chocolate powder for milk,128.5
vegetable fruit juice,12.912
cocoa powder unsweetened,14.3
coconut milk,8
cocoa powder,16.393
rice drink,25.883
coconut water,77.8
caramel med iced coffee dunkin donuts,9
instant coffee with water decaffeinated,8.247
instant coffee powder,233.5
instant coffee powder decaffeinated,4.121
instant cappuccino powder,29.908
coffee decaffeinated,5
espresso decaffeinated,1.391
instant coffee with water,8.027
coffee,5.09
espresso,1.263
whey protein powder vanilla eas,1.7
energy drink sugar free red bull,35.19
powerade coca cola,2.671
amp energy pepsi,61.067
gatorade g2 pepsi,0.69
amp energy sugar free pepsi,2.5
energy drink red bull,33.224
powerade zero ion4 coca cola,1.393
full throttle coca cola,61.049
passion fruit juice purple,94.1
pomegranate juice,61.8
cranberry apricot juice,62.9
pineapple juice,34.477
passion fruit juice yellow,119.3
orange apricot juice,96
tangerine juice,27.29
orange juice,23.177
grapefruit juice,24.254
pineapple grapefruit juice,163.4
tamarind nectar,83.6
apple juice,29.087
limeade,46.7
guava nectar,43.83
orange grapefruit juice,120.1
orange juice sainsburys,0.049
cranberry apple juice,143.5
pineapple orange juice,102.6
pear nectar,41.466
blackberry juice,81.6
lemon juice,18.9
cranberry grape juice,133.2
citrus fruit juice,121.7
prune juice,93.105
guanabana nectar,84.9
fruit juice,26.937
horchata,8.717
fruit punch,53.1
apricot nectar,58.1
orangensaft ja,1.4
fruchtcocktail granini,1.4
peach nectar,31.949
orange pineapple juice,18.261
cranberry juice,25.975
white grapefruit juice,140.9
mango nectar,34.447
acerola cherry juice,3911.4
apple juice concentrate,137.7
papaya nectar,38.657
apple juice martinellis,0
lime juice,129.3
grape juice,67.8
water dannon,9.9
tap water,7.1
table water,70
fruit flavored water,83.471
water,23.7
cola light coca cola,0
lemon lime soda,46.113
tonic water,33.038
lemonade low calorie,76.216
ginger ale,17.528
ice tea lemon flavor nestle,29.7
sprite coca cola,20.538
cola coca cola,46.4
cola,19.336
cream soda,90.6
club soda,0.025
pink lemonade,36.488
grape soda,53.2
cola without caffeine coca cola,46.381
white lemonade,21.02
chocolate soda,72.8
sweet tea lipton,35
hibiscus tea,73.7
instant lemon tea,0.494
pesca tea santal,0
instant lemon tea sweetened,28.147
tea with milk and sugar yorkshire,0.9
tea blueberry muffin tekanne,0.6
chamomile tea,4.6
black tea,0.72
herb tea,4.6
clam tomato juice,42
tomato juice,12.742
vegetable juice,15.538
tomato vegetable juice,109.3
carrot juice,88.3
acorn dried,42
fenugreek seeds,36
peanut topping mcdonalds,40.9
beechnuts dried,32.7
breadnut tree seeds raw,51.2
cumin seeds,23.2
pili nuts dried,292.2
hazelnuts roasted,70.6
lupins cooked,139.1
hazelnuts blanched,72.8
brazilnuts dried,13.139
sunflower seeds dry roasted,14.3
ginkgo nuts canned,75.4
peanuts cooked,218.8
pumpkin squash seeds dried,197
cashew nuts raw,39.5
sunflower seeds dried,85.4
lotus seeds dried,79.4
butternuts dried,190.6
sesame seeds dried,98.4
breadfruit seeds,28.2
pinyon pine nuts dried,0.359
pine nuts dried,163.7
flaxseeds,38.994
safflower seed kernels dried,48.7
pistachio nuts raw,268.1
peanuts raw,286.5
poppy seeds,136.934
valencia peanuts raw,242.9
spanish peanuts,308.1
dill seeds,109.7
caraway seeds,56.8
acorn raw,31.8
almonds roasted,119.9
lotus seeds raw,19
chestnuts cooked,30
alfalfa seeds,1.435
virginia peanuts roasted,57.4
hazelnuts raw,170.3
anise seeds,16.9
macadamia nuts roasted,53.5
studentenfutter alnatura,24.152
pumpkin squash seeds roasted,12.9
water chestnut raw,53.84
chestnuts roasted,17.9
ginkgo nuts raw,17.4
almonds raw,5.554
peanuts roasted,50.6
sunflower seeds toasted,229.6
sisymbrium seeds,1286.643
breadnut tree seeds dried,399.7
pecans raw,194.3
chia seeds dried,216.3
japanese chestnuts roasted,32.2
sesame seeds toasted,88.7
cashew nuts roasted,44.12
lupins raw,522.5
mustard seeds ground,7.6
mixed nuts roasted,53.1
salat mix alestro,7.6
chestnuts raw,187.6
pistachio nuts roasted,32.348
walnut,10.109
celery seeds,125.2
hickorynuts dried,200.2
spanish peanuts roasted,302.5
woca seeds dried,38.5
pecans roasted,53.2
fennel seeds,27.1
chinese chestnuts roasted,33.1
watermelon seed kernels dried,164.5
macadamia nuts raw,10.387
pectin,54.8
black walnut dried,8.347
water chestnut canned,30.594
ginkgo nuts dried,38.5
virginia peanuts raw,278.1
valencia peanuts roasted,47.8
nesfit diet cereal nestle,0
corn grits cooked,49.7
amaranth flakes,47.4
granola,109.142
muesli with fruit nuts,91.1
muesli master crumble,9.3
bran flakes,45.358
nut cereal,156.5
corn flakes,27.947
corn grits dry,9.7
margarine with yoghurt,12.971
sunflower seed butter,27.5
hazelnut oil,13.6
menhaden fish oil,218
cod liver fish oil,17.7
sardine oil,13.6
cupu assu oil,13.6
lard,12.8
sesame butter,172.4
margarine spread,7.547
lard vegetable oil,12.8
shortening,12.8
vegetable oil spread,11.613
cottonseed oil,13.6
vegetable oil spread fat free,7.001
soy margarine,12.642
margarine with salt,13.618
margarine,13.719
salmon fish oil,13.6
nutmeg butter oil,218
almond butter,73
sour cream shoprite,6
ucuhuba butter oil,13.6
chicken fat,12.8
herring fish oil,13.6
bacon grease,4.3
turkey fat,5
beef tallow,12.8
goose fat,5
duck fat,5
mutton tallow,5
grapeseed oil,13.6
sheanut oil,218
almond oil,13.6
sunflower oil,13.617
cashew butter,23.1
canola oil,14.132
babassu oil,218
teaseed oil,13.6
avocado oil,14
vegetable palm kernel oil,13.6
coconut oil,13.661
safflower oil,13.6
vegetable oil,13.706
apricot kernel oil,4.5
peanut oil,13.575
poppyseed oil,13.6
flaxseed oil,13.729
tomatoseed oil,218
wheat germ oil,13.6
sesame oil,4.5
corn granola oil,14
cocoa butter oil,13.6
olive oil,13.618
palm kernel oil,4.741
mustard oil,14
rice bran oil,13.689
vegetable macaroni dry,110.6
chow mein noodles,68.6
chinese noodles,112.906
vegetable macaroni cooked,63.1
corn pasta dry,110
egg noodles dry,49.598
whole wheat spaghetti dry,38
japanese soba noodles dry,36.1
rice noodles dry,30.6
spinach spaghetti dry,45.4
egg noodles cooked,26.542
japanese somen noodles cooked,70.8
whole wheat macaroni dry,150.2
pasta marinara and ground beef sauce,8.7
macaroni raw,122.7
spaghetti dry,32.9
fusilli cucina,3.8
japanese somen noodles dry,32.5
pasta cooked,87.985
macaroni cooked,55.217
spinach egg noodles dry,59.5
japanese soba noodles cooked,35.4
rice noodles cooked,54.9
whole wheat macaroni cooked,71.9
spaghetti cooked,90.8
whole wheat spaghetti cooked,74.3
waffle,234.547
baked taco shell,25.4
puff pastry,259
blueberry muffin,42.915
bread crumbs,305.5
warm cinnamon roll mcdonalds,39.264
corn muffin,96.069
tortilla,264.7
croutons seasoned,78.5
buttermilk waffle,123.4
flour tortilla,114.4
glazed donut,23.931
corn tortilla,34
muffin,151.166
croutons,14.2
donut with jelly filling,77.736
sweet cinnamon rolls,125.783
oat bran muffin,22.9
french cruller donut,45.42
pancakes,100.942
chocolate donut,179.637
sweet cheese rolls,124.9
eclair,68
donut with cream filling,75.331
fruit toaster pastry,53.4
donut,63.823
pancakes whole wheat,132.377
keikitos,63.9
zwieback,7.083
chocolate coated donut,20.16
waffle toasted,126.4
cinnamon toaster pastry,63.489
wheat bran bread,50.7
white bread,18.931
oat bran bread,38.121
whole wheat bread natures own,1
high protein bread dr zaks,18.3
wheat bread,19.619
egg bread toasted,65.618
butter toastbrot ja,2.9
vienna bread toasted,38.073
vienna bread,38.633
protein bread,36
banana bread,54.061
rice bran bread,36.2
white fibre wonder bread,24
focaccia,52.7
oat bran bread toasted,37.631
rye bread,45.6
wheat germ bread,43.598
protein bread toasted,35.3
oatmeal bread,36.227
arepa,137.897
raisin bread toasted,43.7
cracked wheat bread,32.2
garlic bread,42.646
rye bread toasted,45.128
whole wheat bread,49.4
whole wheat bread toasted,49.4
pan dulce bread,106.92
rice bran bread toasted,36.6
pita bread whole wheat,26
wheat germ bread toasted,43.706
pumpernickel bread,35.6
frybread,194.9
white bread toasted,54.3
piki bread,80.5
wheat bread toasted,59.243
pita bread,94.1
potato bread,22.272
egg bread,64.622
oatmeal bread toasted,36.622
cheese bread,81.937
pumpernickel bread toasted,43.4
raisin bread,44.09
pumpernickel roll,39.7
cinnamon raisin bagel,24.016
english muffin,137.3
rye dinner roll,44.9
english muffin whole wheat,214.8
dinner roll whole wheat,50.5
dinner roll,68.5
hotdog roll,27.796
bagel,63.783
oat bran bagel,58.051
pain au chocolat de la boulangerie,12
egg bagel,22.349
english muffin toasted,141.1
english muffin whole wheat toasted,216
biscuit,310.6
french roll,60.8
oat bran dinner roll,48.8
pecan shortbread cookies,18.349
oatmeal cookies,34.069
chocolate wafers,147.442
vanilla wafers low fat,116.995
chocolate chip cookies mcdonalds,38.09
gingersnap cookies,12.5
biscotti abbracci mulino bianco,3.8
chocolate chip cookie,13.122
brownie,71.166
shortbread cookies,10.729
oatmeal cookies with raisins,29.198
peanut butter sandwich cookies,21.624
sugar cookies,17.981
chocolate covered graham crackers,22.313
raisin cookies,20.215
vanilla wafers,7.5
graham crackers,104.5
peanut butter cookies,26.738
vanilla sandwich cookie,19.1
sugar wafers with creme filling,13.1
cheese puffs,54.854
saltine crackers,3.081
trail mix,51.1
corn cones,28.8
chocolate pretzels,18.726
french toast sticks,26.1
crackers,15.764
sesame sticks,26.81
cheese crackers,7.053
oriental rice cracker mix,46.416
breadsticks,29.9
milk crackers,29.845
matzo crackers whole wheat,37.2
matzo crackers with egg,38.972
granola bites,5.042
crackers whole wheat,40.4
tropical trail mix,218.6
soft pretzels,125.8
corn tostada shell,21.8
matzo crackers,31.9
sesame crunch,13.351
trail mix with chocolate chips,298.8
cracker meal,140.5
puffed rice,51.6
filinchen gutena,1.1
melba toast crackers,58.5
matzo crackers with egg onion,38.316
cornnuts,32.1
bagel chips,222.2
pretzels,29.214
potato raw,115.7
gatto di patate home made,13.4
baked potato,45.667
potato sticks,59.5
potato cooked,25.487
vivaldi potatoes sainsburys,0.1
potato ham chowder soup,35.5
russet potato raw,151.9
russet potato baked,161.1
french fries,5.362
potato scalloped,214.2
cottage fries,4.413
mashed potatoes,93.836
mashed potato with milk and butter,114.854
red potato raw,83
potato pancake,24.864
potato puffs,79.1
red potato baked,20.689
potatoes canned,179.8
potato skin raw,23.697
shoestring french fries,1.604
hash brown potato,27.245
baked chips lays,2
corn chips,30.501
nacho cheese tortilla chips low fat,62.9
corn chips barbecue,466
corn chips unsalted,202
potato chips fat free,339.1
sweet chilli kettle baked chips,6.3
taro chips,4.042
potato chips reduced fat,252.9
onion snacks,40.199
potato chips cheese,385.109
yuca cassava chips,2.621
tortilla chips low fat,74.368
ranch flavor tortilla chips,463.1
potato chips,46.8
tortilla chips,30.699
sweet potato chips,45.4
nacho cheese tortilla chips,30.369
vegetable chips,43
taco flavor tortilla chips,586.5
potato chips barbecue,362.5
pita chips,29.893
potato chips sour cream and onion,415.171
adobo fresco,503.4
chili pepper sauce red,6.755
creamy ranch sauce mcdonalds,24.274
catsup,8.299
chili pepper sauce green,12.206
red wine vinegar,1.221
fish sauce,9.498
coleslaw dressing reduced fat,16.403
sour dressing,16.853
guava sauce cooked,397.8
pizza sauce,35.8
sweetn sour sauce mcdonalds,13.7
nance syrup,3.227
french dressing reduced fat,9.052
peppercorn dressing,11.946
sorghum syrup,48
ranch dressing fat free,11.204
caesar dressing low calorie,7.293
sweet sour dressing,2.587
mayonnaise imitation fat free,4.313
sofrito,163.7
turkey gravy instant,14.333
teriyaki sauce,8.733
tomato sauce,20.864
barbecue sauce kraft,14.388
cranberry sauce sweetened,128.8
coleslaw dressing,11.62
onion gravy dry,89.6
corn syrup light,19.806
bacon tomato dressing,7.942
pancake syrup,15.031
balsamic vinegar,7.129
ranch dressing reduced fat,11.727
barbecue sauce mcdonalds,14.6
vinegar oil dressing,8.4
poppyseed dressing,19.612
honey mustard dressing,11.752
french dressing fat free,6.399
vinegar,1.02
spray dressing,2.931
honey mustard dressing fat free,10.426
mushroom gravy,41.7
white sauce,357.7
marinara pasta sauce,111
tomato sauce with mushrooms,92.8
pork gravy powder,15.363
beef gravy,41.982
green goddess dressing,13.2
salsa con queso,307.813
cocktail sauce,10.667
worcestershire sauce,24.673
barbecue sauce,13.1
tomato sauce with onions,108.2
brown gravy dry,13.021
blue cheese dressing light,13.835
spanish tomato sauce,96.3
oyster sauce,8.095
cheese sauce,51.263
hoisin sauce,13.882
pickle relish,6.381
tomato sauce with herbs cheese,157.1
french dressing,14.3
mayonnaise hellmanns,1.737
canadian maple syrup,49.95
maple syrup,33.895
barbecue sauce bulls eye,13.891
ranch dressing,8.046
tomato ketchup mp,0.2
mayonnaise light,4.966
mayonnaise dressing,12.917
malt syrup,29.3
gravy dry,59.4
cranberry orange relish,208.6
caesar dressing,16.717
italian dressing,5.108
brown gravy instant,14
roquefort cheese dressing,15.875
blue cheese dressing,14.429
duck sauce,24.017
au jus,22.4
corn syrup dark,19.122
buttermilk dressing light,11.699
cider vinegar,1.117
tartar sauce,9.096
pepper hot sauce,4.171
tomato chili sauce,4.085
turkey gravy dry,16.335
salsa sauce,7.524
steak sauce,8.815
molasses,56.848
italian dressing fat free,5.71
plum sauce,11.246
chow mein stir fry master foods,0.2
beef gravy instant,15.598
horseradish,1.133
grenadine,14.63
tabasco sauce,1.054
sweet sour sauce,10.183
salsa verde,4.826
miso,10.193
sprouted soybean cooked,83.6
soy flour roasted,249.7
soy flour low fat,350.6
green soybean cooked,30.78
azumaya tofu vitasoy,777
soy proteins isolate,82
tofu yogurt,56.57
bacon meatless,107.3
meatless chicken fried,120.6
soymilk,22.2
soy vermicelli,200.4
tofu fried,6.832
tempeh,253.1
koyadofu,17.237
meatless meatloaf,41.3
soya vanille joghurt alpro,1.9
soybean curd cheese,497.4
soy sauce,2.293
soybean dry roasted,233
soybean oil,13.67
meatless chicken,137.5
soybean cooked,72.517
soymilk nonfat,299.508
soy flour,5.488
soybean lecithin oil,13.6
tofu raw,918.8
soy chips,75.5
green soybean raw,677.3
soy proteins concentrate,132.7
soybean margarine,5.309
chocolate soymilk nonfat,310.107
okara,21.6
meatless meatballs,100.4
vanilla soymilk,91.4
soy meal raw,421.1
soymilk low fat,225.3
sprouted soybean raw,21.8
soybean raw,734
tempeh cooked,38.7
vanilla soymilk light,319.4
chocolate soymilk,35.156
soy oil,13.6
natto,39.429
chrysanthemum raw,5.285
gourd cooked,32.903
cauliflower raw,1.337
red cabbage raw,193.6
broccoli raab raw,3.861
napa cabbage cooked,39.7
kelp,9.303
shallots raw,5.833
bamboo shoots raw,19.3
jute cooked,226.4
red lettuce,1.595
broccoli cooked,38.3
romanesco raw,86
eggplant raw,98.3
leeks raw,16.132
lemongrass citronella,4.937
pumpkin cooked,17.005
celery cooked,20.767
serrano pepper,0.902
nopales raw,155.484
sweet potato leaves cooked,30
eggplant cooked,19
asparagus cooked,1.458
rutabaga cooked,112
parsnips raw,41.83
sour pickles,8.4
turnip greens cooked,251.2
jerusalem artichokes,63.742
collard raw,5.001
chrysanthemum cooked,8.597
oriental radish dried,848.6
tomatillos,38.2
taro shoots raw,31.723
acorn squash raw,247.8
leeks dried,18.709
cabbage raw,27.635
sweet red peppers cooked,137.9
sweet red peppers raw,215.3
cucumber peeled,4.903
purslane raw,40.5
peas onions cooked,63.8
tomato cooked,7.36
taro shoots cooked,52.3
scots kale raw,235.5
artichoke raw,25.274
navy bean sprouts raw,57.9
sweet pickles,136.1
oriental radish cooked,56.2
sweet potato leaves raw,37.6
irishmoss,4.975
drumstick leaves cooked,85.5
winter squash raw,60.5
pumpkin raw,45.1
chicory greens,3.279
spinach cooked,18.5
radish pickled,55.6
sweet onion,31.6
salsify cooked,99.2
radish seeds sprouted,34.5
turnips raw,17.384
burdock root raw,79.2
red cabbage cooked,19.534
jute raw,3.197
hot chile pepper dried,1.07
salsify raw,34.3
crookneck squash raw,59.6
indian squash cooked,12.2
poi,68.761
sesbania flower cooked,68.544
acorn squash cooked,155.7
cauliflower cooked,11.26
crookneck squash cooked,72.6
laver seaweed,3.176
mountain yam cooked,43.8
pumpkin flowers raw,23.71
mustard greens raw,110.7
arrowhead,4.68
japanese cabbage,89.6
mung bean sprouts cooked,37.9
scallop squash cooked,58.5
pumpkin leaves cooked,39.9
hungarian pepper,30.8
sweet potato baked,96.3
chinese cabbage pe tsai raw,83.7
taro raw,83.6
yam bean jicama,61.6
olives,9.479
mustard greens cooked,215.2
pumpkin flowers cooked,64.7
tree fern cooked,75.253
yellow corn raw,175
endive,33.7
wakame,134.7
tahitian taro raw,296.2
broccoli raw,11.548
sweet green peppers raw,146.2
chinese cabbage pak choi cooked,211.8
agar,0.587
watercress,1.59
beet greens cooked,218.9
winter squash cooked,76
new zealand spinach raw,52.8
okra,14.081
yautia tannier,56.9
mustard spinach cooked,414.9
rhubarb cooked,80.893
beets raw,19.395
drumstick pods raw,185.4
baby zucchini,6.89
onion raw,4.955
romanesco cooked,144.3
butternut squash raw,30.078
amaranth leaves,74.73
turnip greens raw,144.8
spaghetti squash raw,35.3
seaweed dry,98.8
yam cooked,45.477
corn dried,39.5
cucumber,36
arrowroot,35.2
cardoon raw,12
bamboo shoots cooked,5.76
summer squash raw,15.958
sweet potato raw,32.696
green tomato,81.1
beet greens raw,60.771
savoy cabbage cooked,17.612
witloof chicory,15.994
turnips cooked,12.408
dried tomatoes,4.838
radicchio,22.6
mixed vegetables cooked,37.698
yellow tomato,10.8
cardoon cooked,98.7
spinach raw,41.7
kale raw,75.973
drumstick pods cooked,156
kohlrabi raw,31.457
lentil sprouts,58.8
carrots raw,8.43
red chili peppers,77.2
fennel,28.2
sweet corn white,19.356
celeriac raw,20.499
hubbard squash raw,17.795
brussels sprouts cooked,23.5
carrots cooked,21.214
lambs quarters raw,3.658
lotus root cooked,6.591
split peas raw,340.4
scots kale cooked,253
corn cooked,29.288
radish raw,0.556
stinging nettles,444.816
baby carrots,6.999
sweet yellow peppers,378.5
taro leaves raw,49.7
corn raw,36.328
roselle,137.5
drumstick leaves raw,55
scallop squash raw,57.1
chicory roots,18.997
brussels sprouts raw,27.553
kale cooked,16.697
pupusas con frijoles,131.5
mustard cabbage,13.276
gourd raw,6.584
butternut squash cooked,142.8
burdock root cooked,128.7
cassava,85.964
peas carrots cooked,78.1
romaine lettuce,21.1
yam raw,51.39
chowchow pickles,149.4
prairie turnips raw,23.255
savoy cabbage raw,8.199
celery raw,2.212
celeriac cooked,57.5
mustard spinach raw,526.2
zucchini raw,15.151
okra cooked,164.2
white icicle radish,62
orange tomato,6.093
pumpkin leaves raw,22.7
spaghetti squash cooked,52.1
white corn cooked,30.302
artichoke cooked,28.845
avocado,87.302
string beans wellsley farms,2.09
lambs quarters cooked,552.2
peas cooked,43.499
beets cooked,7.012
shallots dried,1.07
green lettuce,8.829
kohlrabi cooked,16.506
kanpyo dried,45.8
prairie turnips boiled,20.299
broccoli raab cooked,9.289
summer squash cooked,17.09
taro cooked,53.993
spring onion scallions,2.554
hubbard squash cooked,21.554
jalapeno pepper,1.593
new zealand spinach cooked,125.3
sesbania flower raw,3.181
spirulina dried,17.6
chinese cabbage pe tsai cooked,64.2
zucchini cooked,65.6
green olives pickled,0.801
lotus root raw,132.2
grape leaves,57.8
dill pickled cucumber,68.1
skunk cabbage,79.4
banana pepper,35.6
oriental radish raw,188.7
purslane cooked,108.7
rhubarb raw,4.017
swamp cabbage,77.6
mung bean sprouts raw,2.418
onion cooked,2.171
swiss chard raw,32.314
peas raw,133.3
cabbage cooked,13.566
taro leaves cooked,190.9
leeks cooked,55.6
split peas cooked,104.3
sweet corn yellow,20.347
asparagus raw,1.326
collard cooked,329.4
swiss chard cooked,151.3
nopales cooked,262.963
tahitian taro cooked,274.3
chinese cabbage pak choi raw,109
green chili pepper,6.188
mountain yam raw,67
parsnips cooked,36.576
tomato stewed,24.1
sweet green peppers cooked,67.4
white corn raw,43.973
rutabaga raw,622.2
