food,Protein
tomato vegetable soup,1.9
cream of rice coup,2.2
cream of celery soup,3.3
chicken gravy,4.6
tomato rice soup,4.2
vegetable beef soup,18.1
tomato beef noodle soup,8.9
oyster stew soup,4.2
ramen noodle soup dry,8.9
chicken noodle soup,7.2
chicken bouillon dry,0.7
cream of asparagus soup,4.6
turkey noodle soup,7.8
cream of shrimp soup,5.6
bean with pork soup,15.3
chicken broth,1
beef broth powder,0.6
split pea soup,9.7
escarole soup,3.4
chicken stock,6
tomato bisque soup,4.5
shark fin soup,6.9
onion soup,7.5
chicken gumbo soup,5.3
crab soup,10.4
tripe soup,17.2
little india little lunch,0
original chicken sandwich chick fil a,0
sausage mcmuffin mcdonalds,14.6
sausage mcgriddles mcdonalds,11.4
crispy chicken drumstick kentucky fried chicken,10.6
chicken crispy drumsticks kentucky fried chicken,11.8
biscuit kentucky fried chicken,3.8
english muffin mcdonalds,5.7
french fries mcdonalds,4
hotdog,16.4
french fries burger king,2.4
original taco with beef cheese lettuce taco bell,6.1
hotdog with chili,13.5
chicken crispy wings kentucky fried chicken,9.2
egg white delight mcdonalds,0
french toast sticks burger king,1.3
mcchicken mcdonalds,13.7
nachos supreme taco bell,14.8
crispy chicken wing kentucky fried chicken,12.6
chicken strips burger king,6.6
crispy chicken breast kentucky fried chicken,38.2
sausage biscuit mcdonalds,11.3
sausage burrito mcdonalds,13
onion rings fried,0.3
onion rings burger king,3.5
turkey patty fried,3.9
hotcakes with syrup mcdonalds,9
crispy chicken thigh kentucky fried chicken,20.4
corn dog,6.7
chicken box mcdonalds,0.2
potato wedges kentucky fried chicken,5.4
scrambled eggs mcdonalds,7.7
egg mcmuffin mcdonalds,17.2
nachos taco bell,5.1
biscuit large mcdonalds,5.5
crispy chicken strips kentucky fried chicken,9.5
hotcakes mcdonalds,3
chicken crispy breast kentucky fried chicken,29.7
hotcakes sausage mcdonalds,15.5
chicken mcnuggets mcdonalds,2.5
chips chipotle,0.2
biscuit mcdonalds,4.7
rice bowl with chicken,1.6
spaghetti with meatballs,8.7
meat ravioli canned,8.9
cheese ravioli canned,6
premium crispy chicken ranch blt sandwich mcdonalds,35.3
steak sandwich,30.3
cheeseburger burger king,19.4
cheeseburger mcdonalds,15.4
double cheeseburger,37
double hamburger,52.1
premium grilled chicken classic sandwich mcdonalds,28.3
big n tasty with cheese mcdonalds,27.2
premium grilled chicken club sandwich mcdonalds,38.3
quarter pounder mcdonalds,24.1
premium crispy chicken classic sandwich mcdonalds,27.8
veggie burger,11
quarter pounder with cheese mcdonalds,29
beef sandwich steak raw,9.2
cheeseburger,15
premium grilled chicken ranch blt sandwich mcdonalds,33.7
double whopper with cheese burger king,57.7
big mac mcdonalds,25.9
sandwich with cold cuts,41.1
filet o fish mcdonalds,15.1
hand breaded chicken tenders carls jr,0
grilled chicken sandwich wendys,0
sandwich with roast beef,28.6
hamburger burger king,14.7
big n tasty mcdonalds,24.7
roast beef sandwich,22.6
roast beef sandwich with cheese,32.2
hamburger,12.9
premium fish sandwich burger king,22.6
whopper burger king,35.4
sandwich with tuna salad,29.7
original chicken sandwich burger king,24.2
double whopper burger king,52.1
premium crispy chicken club sandwich mcdonalds,39.1
hamburger mcdonalds,12.3
pepperoni pizza dominos,12.7
sausage pizza,13.3
pepperoni pizza,13
pepperoni pizza pizza hut,12.3
cheese pizza pizza hut,11.5
cheese pizza,12.2
cheese pizza dominos,11.7
meat vegetable pizza,15
sucker raw,26.6
northern pike raw,76.3
haddock cooked,30
burbot cooked,22.3
pollock cooked,75.3
rainbow smelt raw,5
whitefish cooked,37.7
walleye pike raw,30.4
carp cooked,38.9
wolffish cooked,53.4
snapper cooked,44.7
roe cooked,8.1
anchovy raw,5.8
herring raw,33
cod raw,41.1
tilapia raw,23.3
whiting cooked,16.9
skipjack tuna cooked,86.9
salmon cooked,78.7
chum salmon cooked,79.5
american shad cooked,31.3
shark cooked,5.3
trout cooked,16.5
swordfish raw,26.7
rainbow trout cooked,16.9
fish sandwich with cheese,15.1
jellyfish dried,3.2
mullet raw,23
halibut cooked,71.7
lingcod raw,44.2
orange roughy cooked,6.4
cisco raw,15
florida pompano cooked,20.8
snapper raw,44.7
fish sandwich,22.6
haddock raw,31.5
ocean perch raw,9.8
cuttlefish cooked,9.2
cod cooked,41.1
seatrout raw,39.8
flounder raw,20.2
spot cooked,11.9
walleye pike cooked,30.4
perch raw,11.6
pumpkin seed sunfish raw,9.3
salt mackerel,25.2
mackerel cooked,21
tilapia cooked,22.8
drum raw,34.7
atlantic croaker fried,15.8
pumpkin seed sunfish cooked,9.2
wolffish raw,53.6
bluefin tuna cooked,44.9
scup cooked,12.1
herring cooked,32.9
bluefish raw,30.1
sheepshead cooked,48.4
bass cooked,15
pout cooked,58.4
chinook salmon raw,78.9
rockfish raw,35.1
tilefish raw,67.6
scup raw,31.3
sablefish cooked,51.9
tuna salad,32.9
coho salmon cooked,34.7
roe raw,3.1
sea bass raw,23.8
pink salmon cooked,56
sockeye salmon cooked,82.1
whitefish raw,37.8
greenland halibut cooked,58.6
northern pike cooked,76.5
salmon raw,80.9
turbot cooked,65.4
surimi,4.3
chinook salmon cooked,79.2
mullet cooked,23.1
chum salmon raw,0.6
butterfish raw,5.5
sea bass cooked,23.9
greenland halibut raw,58.6
halibut raw,75.7
sturgeon cooked,28.2
fish fillet fried,13.3
rainbow trout raw,15.8
pout raw,58.6
rainbow smelt cooked,6.4
monkfish raw,4.1
trout raw,16.4
shark raw,5.9
burbot raw,22.4
dolphinfish cooked,37.7
crayfish cooked,5
dolphinfish raw,37.7
perch cooked,11.4
cusk raw,23.2
bluefin tuna raw,6.6
milkfish cooked,7.4
carp raw,38.9
sturgeon raw,4.6
orange roughy raw,4.6
catfish fried,15.7
cuttlefish raw,4.6
bass raw,14.9
flounder cooked,19.4
milkfish raw,5.8
eel raw,37.6
catfish raw,24.2
fish sticks,3.1
coho salmon raw,33.8
monkfish cooked,5.3
yellowtail cooked,86.6
yellowfin tuna cooked,8.2
ling cooked,36.8
eel cooked,6.7
sablefish raw,51.8
salmon nuggets,3.6
yellowtail raw,86.5
butterfish cooked,5.5
caviar,3.9
pollock raw,75
catfish cooked,26.4
whiting raw,16.8
pink salmon raw,65.2
yellowfin tuna raw,6.9
mackerel raw,20.8
turbot raw,65.5
cusk cooked,23.1
atlantic croaker raw,14
sucker cooked,26.6
spot raw,11.8
drum cooked,34.6
crayfish raw,0.6
tilefish cooked,73.5
bluefish cooked,30.1
grouper cooked,50.2
sheepshead raw,48.1
herring kippered,9.8
grouper raw,50.2
ocean perch cooked,9.3
ling raw,36.7
lingcod cooked,68.4
florida pompano raw,20.7
rockfish cooked,33.1
seatrout cooked,39.9
sockeye salmon raw,84.4
swordfish cooked,24.9
american shad raw,31.2
sardine canned in oil,36.7
anchovy canned in oil,1.2
salmon canned,79.1
sardines in tomato sauce canned,18.6
sockeye salmon canned,79.5
tuna canned,18.9
pink salmon canned,80.9
cod canned,71
eastern oyster canned,11.4
chum salmon canned,79.1
tuna canned in oil,47.2
wild pink salmon oceans,0
shrimp canned,26.1
alaska king crab raw,31.5
scallops fried,2.6
shrimp cooked,1.3
clams fried,1.3
alaska king crab cooked,25.9
scallops cooked,2.1
squid fried,14.4
oyster raw,4.7
abalone,14.5
queen crab raw,5.2
whelk cooked,13.5
oyster cooked,4.7
eastern oyster cooked,0.7
blue mussels cooked,47.6
octopus raw,4.2
spiny lobster cooked,43
blue mussels raw,17.9
queen crab cooked,20.2
dungeness crab cooked,28.3
dungeness crab raw,28.4
shrimp fried,1.3
shrimp raw,0.7
blue crab cooked,15.2
shrimp imitation,3.5
conch baked,33.4
squid raw,4.4
scallop raw,1.8
lobster raw,24.8
scallop imitation,3.6
blue crab raw,3.8
whelk raw,6.7
spiny lobster raw,43.1
clams canned,38.8
lobster cooked,28.5
eastern oyster fried,1.3
clams raw,33.3
octopus cooked,25.3
eastern oyster raw,0.7
oyster fried,2.1
sturgeon smoked,8.8
chinook salmon smoked,24.9
cisco smoked,4.6
haddock smoked,7.1
whitefish smoked,31.8
red salmon sockeye filets smoked,65.5
eggnog,11.6
beer light,0.8
beer budweiser,0.1
weizenbier erdinger,0
beer light budweiser,0.066
beer,1.5
root beer,0
whiskey sour mix,0.051
whiskey sour,0
tequila sunrise,0.6
daiquiri,0.035
pina colada,0.6
whiskey,0
rum,0
vodka smirnoff,0
coffee liqueur,0.041
gin,0
dessert wine sweet,0.2
chenin blanc white wine,0.1
gamay red wine,0.1
late harvest white wine,0.1
gewurztraminer white wine,0.1
burgundy red wine,0.1
zinfandel red wine,0.1
muller thurgau white wine,0.1
mouvedre red wine,0.1
table wine,0.1
wine light,0.1
white wine,0.1
petite sirah red wine,0.1
non alcoholic wine,0.1
pinot noir red wine,0.1
pinot gris grigio white wine,0.1
riesling white wine,0.1
barbera red wine,0.1
lemberger red wine,0.1
merlot red wine,0.1
sangiovese red wine,0.1
sauvignon blanc white wine,0.1
syrah red wine,0.1
carignane red wine,0.4
pinot blanc white wine,0.1
semillon white wine,0.1
dessert wine dry,1
red wine,0.1
cabernet sauvignon red wine,0.1
muscat white wine,0.1
cooking wine,0.028
chardonnay white wine,0.1
claret red wine,0.1
rice sake,0.7
fume blanc white wine,0.1
cabarnet franc red wine,0.1
chocolate frosting,0.2
white sugar,0
egg substitute,24
agave syrup,0.025
splenda sweetener,0
vanilla extract,0
egg yolk dried,1.3
granulated sugar,0
baking chocolate,3.7
bakers yeast,1.4
fondant,0
brown sugar,0.024
white frosting dry,4.8
maple sugar,0.036
fructose sweetener,0
saccharin sweetener,0.9
egg white raw,3.6
turbinado sugar,0
vanilla frosting,0
aspartame sweetener,2.2
egg raw,7
pineapple topping,0.3
egg white dried,5.8
egg yolk raw,2.7
