food,Sodium,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc
scrapple,0.1,2,0.024,0.5,3.7,0,21.5,44.7,0.017,0.3
chicken nuggets,0.1,0.058,2.2,0.091,0.2,4.8,0.023,54.4,50.2,0.009
ground lamb cooked,0.3,68.9,0.4,5.6,75.1,0.071,629.1,1061.1,0.024,14.6
lamb meat cooked,0.2,40,0.3,4.8,60,0.07,482.5,795,0.026,11.9
meat extender,0.041,179.5,0.3,10.6,190.1,0.2,562.3,1673.8,0.038,1.9
lamb leg raw,0.3,40.8,0.5,7.5,104.3,0.09,771.1,1129.5,0.025,15.1
lamb loin cooked,0.089,12.8,0.068,1.2,15.4,0.09,125.4,209.3,0.039,2.2
chicken patty,0.3,11.4,0.056,0.6,14.4,0.2,124.8,156.6,0.014,0.6
lamb shank roasted,0.2,26.9,0.3,5.3,67.3,0.089,532.6,876.9,0.057,12.5
barbecue loaf,0.3,12.7,0.029,0.3,3.9,0.089,30.4,75.7,0.009,0.6
lamb sirloin cooked,0.2,28.8,0.3,5.2,57.6,0.028,479.5,788.6,0.089,10.8
poultry salad,0.079,1.3,0.072,0.097,1.3,0.049,4.3,23.8,0.024,0.1
ground lamb raw,0.05,4.5,0.099,0.4,5.9,0.017,44.4,62.8,0.07,1
lamb loin raw,0.003,4.2,0.049,0.5,5.9,0.027,43,60.6,0.023,0.7
lamb sirloin raw,0.3,45.4,0.5,7.3,99.8,0.024,721.2,1047.8,0.056,14
sausage patty mcdonalds,0.2,6.5,0.017,0.3,4.5,0.038,39.6,75.8,0,0.4
lamb foreshank cooked,0.1,29.6,0.2,3.2,32.6,0.024,245.7,380.4,0.087,11.4
ham salad,0.5,3.6,0.065,0.3,4.5,0.083,54,67.5,0.059,0.5
lamb rib raw,0.3,68,0.4,6.3,81.6,0.015,621.4,861.8,0.019,12.3
lamb shoulder raw,0.3,72.6,0.4,6.8,95.3,0.023,716.7,1043.3,0.02,17.9
lamb meat raw,0.3,54.4,0.5,7.3,99.8,0.01,753,1084.1,0.078,16
lamb shoulder cooked,0.2,54.5,0.3,5.2,52.3,0.04,405.5,540.6,0.094,13.9
mutton cooked,0.07,2.8,0.068,1.3,8.8,0,77,115.7,0.094,1.7
lamb leg cooked,0.2,29.2,0.3,5.2,63.6,0.071,506.2,829.5,0.064,11.7
beef stick,0.3,13.6,0.097,0.7,4.2,0.007,36,51.4,0,0.5
veal sirloin cooked,0.2,34.9,0.3,2.5,55.4,0.072,498.2,658.1,0.058,8.9
veal rib cooked,0.2,38.9,0.2,2.5,44.3,0.076,371.7,541.6,0.046,9.9
veal meat cooked,0.2,46,0.2,2.4,54.3,0.084,499.5,679.3,0.061,9.9
beef rib roasted,0.01,6.7,0.086,1.6,13.4,0.062,115.9,196.3,0.01,3.9
veal sirloin raw,0.3,49.9,0.5,3.5,108.9,0.1,948,1492.3,0.004,11.6
beef top loin filet grilled,0.1,0.019,9.5,0.2,4.5,36.5,0,318.6,507.6,0.077
beef under blade steak cooked,0.3,0.044,62.9,0.5,14.4,98.8,0.085,929.4,1382.9,0.2
mock tender steak raw,0.2,21.8,0.2,4.8,49.5,0.087,445.5,685.1,0.032,15.8
ground beef cooked,0.1,0.052,57,0.1,3.4,27.8,0.044,280.8,455.9,0.081
ground beef raw,0.3,108.9,0.2,7.4,63.5,0.045,598.8,988.8,0.001,16.2
beef diced asda,0,0,0,0,0,0,0,0,0,0
veal rib raw,0.4,59,0.5,3.9,99.8,0.1,834.6,1315.4,0.045,14.7
ground veal raw,0.029,4.2,0.048,0.2,6.8,0.026,57.4,89.1,0.076,0.9
t bone steak cooked,0.2,0,69,0.2,11.8,65.3,0.001,729.6,900.2,0.041
veal leg round raw,0.3,22.7,0.5,3.6,117.9,0.1,997.9,1664.7,0.005,10.4
beef top sirloin steak raw,0.3,145.9,0.4,9,127.7,0.074,1137,1915.2,0.1,21.6
beef plate steak grilled,0.1,0.047,13.9,0.4,8.9,41.8,0.4,321.9,487.2,0.088
ground veal cooked,0.2,50.8,0.3,3,71.8,0.1,648.8,1007.6,0.011,11.6
veal leg round cooked,0.2,21.8,0.4,3.6,78.9,0.1,677.3,1041.8,0.089,10.8
porterhouse steak raw,0.2,27.2,0.3,8.8,86.2,0.011,762,1338.1,0.013,14.3
veal shank raw,0.4,90.7,0.3,3.4,95.3,0.009,866.4,1424.3,0.068,18.1
veal breast cooked,0.2,25.5,0.2,2.2,56.6,0.027,540.5,769.8,0.057,10.3
corned beef canned,0.2,2.5,0.012,0.4,2.9,0.092,23.3,28.6,0.054,0.7
rib eye steak grilled,0.1,30.1,0.2,6,57.7,0,409.1,700.3,0.085,15.9
veal shoulder raw,0,0,0,0,0,0,0,0,0,0
t bone steak raw,0.2,27.2,0.4,9.5,90.7,0.034,784.7,1397.1,0.044,14.7
sirloin steak,0.6,0,16.6,0.2,4.3,44.8,0.082,381.8,629.1,0.083
mock tender steak cooked,0.028,6.8,0.1,2.6,19.6,0,198.9,249.1,0.073,6.7
beef round steak cooked,0.011,14.4,0.2,5.2,41,0.033,395.7,516.6,0.091,10.7
chuck blade roast raw,0.3,45.4,0.3,9.3,77.1,0.056,734.8,1229.3,0.049,22.6
beef shoulder steak raw,0.2,28.7,0.2,6,45.4,0.02,480.4,800.7,0.09,18
beef top blade cooked,0.002,6,0.057,2.3,20.4,0,181.9,254.2,0.098,7.4
corned beef cooked,0.2,1.7,0.009,0.4,2.5,0.025,26.3,30.5,0.034,1
beef round steak raw,0.3,95.3,0.4,8.4,108.9,0.035,961.6,1583.1,0.1,18.5
beef shoulder steak grilled,0.014,10.2,0.056,2.5,21.3,0.03,208.3,311.1,0.084,6.8
chuck eye steak raw,0.3,53.8,0.2,8.1,73,0.007,687.4,1263.4,0.097,27.9
beef bottom round steak cooked,0.2,31.8,0.4,13,104.3,0.038,984.3,1279.2,0.2,26.8
porterhouse steak cooked,0.085,6,0.1,2.5,18.7,0.095,164.1,254.2,0.087,3.9
beef under blade steak raw,0.3,62.9,0.4,12.6,89.8,0.036,812.7,1225.8,0.1,42.9
beef plate steak raw,0.2,16,0.5,9.1,50.5,0.5,377.7,643.7,0.048,12.6
beef meat canned,0.095,4.5,0.079,1,7.2,0.088,63,102.2,0.055,2.2
beef breakfast strips raw,0.2,0.9,0.013,0.3,2.5,0.031,22.6,34.6,0.033,0.5
beef brisket cooked,0.1,12.5,0.2,4.4,35.6,0.076,368.5,446.8,0.063,10.3
corned beef raw,5.5,31.8,0.5,7.7,63.5,0.012,530.7,1347.2,0.07,12.9
beef mince meat asda,0,0,0,0,0,0,0,0,0,0
pastrami beef fat free,0.005,0.9,0.078,0.3,1.7,0.047,14.3,21.7,0.044,0.4
rib eye steak raw,0.2,26.1,0.2,5.9,65.2,0,446.6,802,0.01,16.2
beef tenderloin steak cooked,0.061,26.6,0.1,2.4,30.8,0.076,287,460.6,0.018,6.7
chuck blade roast cooked,0.2,32.1,0.3,7.7,46.9,0.089,498.9,575.5,0.061,20.8
cured beef dried,0.049,0.2,0.091,0.004,0.5,0.018,5.1,6.6,0.01,0.1
beef flank steak cooked,0.068,33.8,0.2,3.4,41.4,0.095,377.9,612.9,0.073,9
chuck eye steak grilled,0.2,0.02,49.3,0.2,7.5,67.8,0.045,594.4,1001,0.012
veal meat raw,0.4,68,0.5,3.8,108.9,0.1,920.8,1428.8,0.095,13.9
veal loin cooked,0.001,7.9,0.074,0.3,6.8,0.047,62.3,79.2,0.082,1
veal loin raw,0.079,4.5,0.027,0.2,6.5,0.07,56.3,86,0.089,0.7
veal shoulder cooked,0.2,66.9,0.3,2.7,51.6,0.037,477.5,590.2,0.091,12.6
beef tenderloin steak raw,0.032,37.7,0.1,2.3,32.8,0.094,295.2,495.3,0.049,5.6
veal shank cooked,0.2,64,0.2,2.4,48.5,0.017,436.5,591.7,0.099,12.9
beef brisket raw,0.3,27.2,0.3,7.7,86.2,0.034,802.9,1279.2,0.033,16.8
pastrami beef,0.8,7.1,0.024,1.6,12.1,0.048,124.3,149.1,0.075,3.5
beef flank steak raw,0.054,7.6,0.095,0.4,6.2,0.061,54.6,93.4,0.076,1.1
beef top sirloin steak cooked,0.055,35.4,0.1,3.1,38.9,0.063,369.9,594.7,0.026,8.6
veal breast raw,0.3,31.8,0.4,2.4,81.6,0.046,780.2,1297.3,0.007,10.6
beef rib raw,0.2,36.3,0.3,7.8,72.6,0.045,694,1179.4,0.067,17
beef jerky,0.4,4,0.029,1.1,10.2,0.072,81.4,119.4,0.046,1.6
beef breakfast strips cooked,0.3,1,0.06,0.4,3.1,0.097,26.7,46.6,0.023,0.7
pork olive loaf,0.3,30.5,0.023,0.2,5.3,0.015,35.6,83.2,0.087,0.4
beef luncheon meat jellied,0.4,2.8,0.1,1,5,0.058,38.9,112.6,0.032,1
turkey pastrami,0.3,3.1,0.023,1.2,4,0.055,57,98.3,0.014,0.6
pork salami,0.2,1.3,0.077,0.1,2.2,0.042,22.9,37.8,0.041,0.4
canadian style bacon raw,0.3,2.3,0.069,0.2,4.8,0.006,69.3,98,0.082,0.4
honey loaf,0.4,30.8,0.085,0.6,11.4,0.002,96.9,224.6,0.038,1.8
pork beef salami,0.2,0,2.4,0.042,0.1,2,0.06,18.8,35.6,0.06
beef pork bologna,0.3,25.5,0.081,0.4,5.1,0.027,48.9,94.5,0.093,0.7
pork beef salami cooked,0.2,1.8,0.071,0.2,2.3,0.1,23.5,38.9,0.022,0.4
pork breakfast strips raw,0.2,1.8,0.057,0.2,2.7,0.034,31,46.1,0.037,0.4
pickle pimiento loaf,0.4,41.4,0.005,0.5,12.9,0.024,58.1,141,0.047,0.6
luxury loaf,0.3,10.1,0.015,0.3,5.6,0.004,51.8,105.6,0.009,0.9
mortadella,0.2,2.7,0.032,0.2,1.7,0.098,14.6,24.5,0.036,0.3
pork bologna,0.3,3.1,0.099,0.2,3.9,0.092,38.9,78.7,0.023,0.6
turkey salami cooked,0.023,2,0.026,0.026,1.1,0.025,13.3,10.8,0.072,0.1
pepperoni beef,0.09,0.4,0.009,0.035,0.4,0.014,3.5,5.6,0.035,0.027
peppered loaf,0.2,15.4,0.047,0.3,5.7,0.046,48.5,112.3,0.059,0.9
luncheon meat beef,0.1,0.9,0.011,0.3,1.7,0.054,12.9,37.4,0.055,0.3
lebanon bologna,0.8,11.4,0.093,1.2,11.4,0.002,109.4,188.1,0.059,2.2
chicken pork bologna,0.3,54.9,0.056,0.3,4.5,0.042,62.4,45.4,0,0.3
turkey roll,0.1,8.6,0.088,0.4,4.9,0.085,45.4,72.9,0.049,0.5
beef salami cooked,0.3,1.6,0.014,0.6,3.4,0.083,53.3,48.9,0.088,0.5
yachtwurst cooked,0.5,10.6,0,0.6,0,0,0,0,0,0
italian salami,0.2,1,0.057,0.2,2.2,0.052,22.9,34,0.035,0.4
turkey ham,0.3,1.4,0.047,0.4,5.6,0.074,85.1,83.7,0.043,0.7
turkey bologna,0.3,34.4,0.04,0.8,4.5,0.086,31.9,37.8,0.059,0.4
sliced turkey breast,0.1,0,2.2,0.023,0.051,3,0.025,39.8,59.4,0.097
luncheon meat pork beef,0.4,2.5,0.041,0.2,3.9,0.092,24.1,56.6,0.058,0.5
beef bologna,0.3,0.053,6.3,0.01,0.4,3.9,0.055,46.2,105.3,0.018
turkey bacon cooked,1.9,7.4,0.1,1.7,23.8,0,377.2,323.9,0.092,2.5
ground emu cooked,0.025,0.044,8.7,0.3,5.5,31.6,0.085,293.2,408.8,0.044
ostrich leg raw,0.067,4.3,0.1,2,18.7,0.06,187,272,0.026,3.3
ostrich strip raw,0.086,4.3,0.1,3.6,19.6,0.088,192.1,280.5,0.005,3.4
emu fillet cooked,0.2,23.6,0.9,18,118.2,0.1,1071.7,1564.2,0.2,12.6
ostrich tenderloin raw,0.005,5.1,0.1,4.1,18.7,0.019,187,272,0.087,3.3
emu drums cooked,0.5,25,1.1,30.2,137.3,0.1,1277.1,1297.9,0.2,21.2
green turtle raw,0.099,33.4,0.08,0.4,5.7,0,50.9,65.1,0.035,0.3
ground bison cooked,0.2,35,0.4,8,57.5,0,532.5,882.5,0.006,13.4
goat meat raw,0.4,59,1.2,12.8,0,0.2,816.5,1746.4,0.01,18.1
ground emu raw,0.062,8.2,0.2,4.7,28.1,0.02,259.7,374.4,0.061,4.1
ground ostrich raw,0.021,7.6,0.1,3.2,21.8,0.025,216.9,317.2,0.067,3.8
ostrich tip cooked,0.086,5.1,0.1,2.4,21.3,0.013,213.4,307.7,0.019,4.1
caribou cooked,0.004,6.6,0.4,6.3,31.7,0.049,283.8,323.4,0.073,5.7
ground ostrich cooked,0.099,0,7.4,0.1,3.2,21.4,0.076,208.3,300.4,0.033
ostrich leg cooked,0.016,5.1,0.1,2.7,21.3,0.035,207.4,299.2,0.05,4
ostrich top loin cooked,0.029,0.046,5.1,0.1,2.8,21.3,0.075,208.3,300.1,0.017
ostrich strip cooked,0.034,4.3,0.1,4.1,22.1,0.013,215.1,311.1,0.018,4.2
ostrich tip raw,0.041,4.3,0.1,2.4,18.7,0.034,181.1,263.5,0.033,3.2
ostrich round raw,0.074,4.3,0.1,3,18.7,0.018,183.6,267.8,0.073,3.2
ground bison raw,0.042,9.4,0.1,2.4,17.9,0,164.9,278.8,0.014,3.9
ostrich fan raw,0.04,5.1,0.1,3.7,18.7,0.018,179.4,261.8,0.003,3.2
