food,Sodium,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc
pork blade steak braised,0.4,0,71.3,0.5,4.5,52.8,0.06,599.3,976.8,0.1
pork boston steaks cooked,0.1,60.8,0.003,2.4,35.5,0.037,354.9,550.9,0.06,7.6
bacon cooked,0.2,0,1.2,0.047,0.1,3.1,0.071,35.4,47.8,0.064
pickled pork hocks,0.3,5.4,0.063,0.3,1.7,0.018,17,13.3,0.089,0.7
pork boston roast cooked,0.2,73.4,0.3,3.8,47.2,0.052,516.1,869.8,0.022,10.4
canadian style bacon grilled,0.4,2.4,0.043,0.2,4.9,0.023,69.6,91.7,0.058,0.4
ham steak,0.7,2.3,0.05,0.6,10.8,0.011,148.2,185.3,0.068,1.2
pork backfat,0.064,9.1,0.094,0.8,9.1,0.082,172.4,294.8,0.063,1.7
bacon baked,0.2,0.047,0.8,0.054,0.1,2.4,0.078,41,43.7,0.003
pork arm picnic raw,2.3,329.4,2,15.6,494.1,0.3,5490,11336.9,0.6,59
salt pork raw,0.8,1.7,0.053,0.1,2,0.073,14.7,18.7,0.056,0.3
pork arm picnic cooked,2.2,360.3,2.4,20.7,495.4,0.5,5404.8,8039.6,0.7,69.8
pork top loin chops cooked,0.064,0,16.2,0.1,1.2,31.1,0.052,298.4,352.4,0.079
ground pork raw,0.033,17.5,0.08,1.1,23.8,0.083,218.8,358.8,0.039,2.8
pork shoulder raw,0.3,68,0.4,4.8,81.6,0.083,825.6,1369.9,0.1,12.2
pork chitterlings cooked,0.078,0,7.1,0.056,0.4,2.5,0.033,18.7,4,0.07
pork breakfast strips cooked,0.2,1.6,0.054,0.2,2.9,0.085,29.9,52.7,0.061,0.4
pork blade roll roasted,3.7,26.3,0.3,3.3,48.9,0.098,586.6,729.4,0.1,9.2
pork tail cooked,0.093,38.5,0.2,2.2,19.3,0.087,129.3,431.8,0.087,4.5
pork centre rib roasts raw,0.1,48.5,0.1,1.2,50.5,0.053,436.3,725.2,0.05,4
pork centre rib roasts roasted,0.7,0,148.8,0.7,7.5,164.4,0.063,1800.9,2129.8,0.3
minced ham,0.3,2.1,0.029,0.2,3.4,0.074,33,65.3,0.048,0.4
ham roasted,1.3,11.2,0.2,1.9,23.8,0.084,340.2,499.8,0.053,3.5
pork loin raw,0.003,21.1,0.037,0.9,24.6,0.066,230.5,416.5,0.013,2
pork backribs roasted,0.8,0,403.9,0.9,8.1,149.3,0.065,1448.7,2107.2,0.3
pork belly raw,0.1,22.7,0.2,2.4,18.1,0.01,489.9,839.2,0.085,4.6
ham raw,1.5,8.4,0.075,1.2,19.6,0.063,245,442.4,0.065,2.3
ham extra lean,0.4,2,0.075,0.3,5,0.049,66.1,83.2,0.041,0.6
pork feet pickled,4.3,145.2,0.2,1.4,49.9,0.049,394.6,59,0.003,0.9
pork shoulder cooked,0.001,32.4,0.2,1.8,24.3,0.084,286.2,444.2,0.026,5
pork top loin roasts roasted,0.4,0,59.4,0.7,5.4,212,0.052,1891,2959.5,0.3
pork skin,0.5,8.5,0.033,0.2,3.1,0.066,24.1,35.9,0.062,0.2
pork country style ribs cooked,0.049,29.2,0.072,1.2,19.8,0.025,173.7,247.7,0.026,3.6
pork blade steak raw,0.6,59,0.5,3.8,70.7,0,829.2,1536.6,0.1,11.1
pork tenderloin cooked,0.091,3.8,0.045,1.1,26.6,0.072,220.4,337.4,0.082,2.2
pork loin cooked,0.077,18.7,0.006,1,16.9,0.033,161.1,332.9,0.02,2.1
pork ears cooked,0.2,20,0.086,1.7,7.8,0.086,26.6,44.4,0.044,0.2
pork tongue cooked,0.3,43.9,0.3,11.5,46.2,0.054,401.9,547.5,0.04,10.5
pork spareribs raw,1.1,194.6,1,11.8,207.5,0.1,1828.8,3138.7,0.3,32.4
ham patties grilled,0.6,5.4,0.043,1,6,0.045,60.6,146.4,0.028,1.1
chicken skin roasted,0.028,15.7,0.034,1.7,16.8,0.083,140,152.3,0.2,1.4
turkey breast raw,1.3,294.3,1.7,27.2,543.4,0.4,4211,6226,0.5,35.5
ground turkey raw,0.047,21.7,0.1,1.2,26.2,0.096,228,270.2,0.025,2.7
chicken wing cooked,0.086,2.5,0.095,0.2,3.4,0.041,25.4,29.2,0.092,0.3
turkey roast roasted,0.9,6.8,0.037,2.2,29.7,0.066,329.4,402.3,0.081,3.4
pheasant meat raw,0.3,96,0.5,9.2,160,0.1,1712,1944,0.1,7.7
chicken back raw,0.043,7.7,0.066,0.6,8.9,0.024,66.7,85,0.009,0.7
chicken back cooked,0.091,6.5,0.052,0.4,5.8,0.016,43.2,52.2,0.055,0.7
chicken leg fried,0.4,28.4,0.1,2.2,31.6,0.043,240.2,298.6,0.041,3.4
chicken feet cooked,0.3,399.2,0.5,4.1,22.7,0,376.5,140.6,0.033,3.1
turkey steak fried,0.5,9,0.01,1.4,9.6,0.028,149.8,166.4,0.013,0.9
turkey taco meat cooked,1.2,126.3,0.072,3.3,49.4,0.3,329.4,543.5,0.067,4.6
chicken leg raw,0.3,31,0.2,2.4,65.4,0.088,533.2,698.3,0.091,5.1
chicken meat raw,0.6,101.2,0.4,8.3,184,0.2,1352.4,1738.8,0.1,12.1
chicken neck cooked,0.085,10.3,0.065,0.9,4.9,0.095,46.4,41,0.054,1
chicken drumstick fried,0.2,12.2,0.063,1,14.4,0.004,105.8,133.9,0.018,1.7
quail egg,0.042,5.8,0.078,0.3,1.2,0.061,20.3,11.9,0.091,0.1
duck meat cooked,0.041,15.4,0.3,3.8,22.4,0.071,218.4,285.6,0.092,2.6
chicken wing roasted,0.039,0.024,15.3,0.092,0.7,16.2,0.095,125,180.2,0.032
quail meat cooked,0.2,68,2.7,20.1,99.7,0,1263.9,978.5,0.063,14
goose meat cooked,0.089,18.2,0.4,4,30.8,0.082,378,460.6,0.047,3.7
chicken breast cooked,0.058,8.1,0.012,0.6,15.7,0.024,124.1,142.1,0.046,0.6
chicken neck raw,0.027,9,0.075,1,6.5,0.093,56,68.5,0.073,0.9
duck egg,0.1,44.8,0.035,2.7,11.9,0.058,154,155.4,0.058,1
pheasant breast raw,0.1,10.9,0.2,2.9,76.4,0.051,728,880.9,0.06,2.3
duck meat raw,0.8,139.5,3,30.4,190.2,0.2,1762.5,2650.1,0.2,17.2
squab meat raw,0.1,23.9,0.9,7,43.8,0.021,493.5,396,0.087,4.4
chicken drumstick raw,0.1,13.3,0.039,0.8,26.6,0.064,220.8,296.6,0.063,2.6
turkey meat roasted,0.2,21,0.1,1.6,45,0.053,334.5,358.5,0.022,3.7
chicken breast raw,0.1,19.1,0.003,1.3,43.5,0.017,302.8,382.8,0.029,1.4
ground chicken cooked,0.2,0.044,20.1,0.2,2.3,70.3,0.038,587.3,1699.3,0.047
turkey wing cooked,0.1,44.6,0.1,2.7,46.5,0.05,366.4,494.8,0.026,3.9
goose meat raw,1.2,196.6,4.4,41,294.8,0.3,3832.9,5045,0.2,28.2
turkey breast roasted,1.1,362.9,0.8,24.2,466.6,0.3,3628.8,4976.6,0.5,35.1
chicken fajita strips,0.044,1.2,0.034,0.097,2.1,0.099,26,26.7,0.018,0.1
crispy chicken strips tyson,0,0,0,0,0,0,0,0,0,0
chocolate pudding fat free,0.1,44.1,0.035,1.9,17,0.04,61,235,0.052,0.3
tapioca pudding,0.2,78.1,0.026,0.1,6.6,0.096,66,101.2,0,0.2
tapioca pudding fat free,0.2,58.2,0.004,0.1,5.6,0.023,73.9,78.4,0,0.2
rice pudding,0.1,0.063,107.4,0.014,0.1,9,0.1,92.7,141.3,0.083
corn pudding,0.7,0.066,97.5,0.1,1.3,37.5,0.2,225,440,0.069
chocolate pudding,0.2,76.5,0.1,1.9,27,0.2,84,276,0,0.5
lemon pudding,0.4,148.5,0.07,0.058,16.5,0.007,307.5,190.5,0.041,0.5
vanilla pudding,0.3,73.5,0.08,0.1,6,0.031,61.5,97.5,0,0.2
profeel proteiinirahka valio,0,0,0,0,0,0,0,0,0,0
cottage cheese creamed,0.095,16.6,0.019,0.071,1.6,0.009,31.8,20.8,0.045,0.018
zaziki milfina,0,0,0,0,0,0,0,0,0,0
cottage cheese low fat,0.9,137.9,0.005,0.3,11.3,0.041,302.8,194.4,0.055,0.9
cottage cheese nonfat,0.5,124.7,0.071,0.2,16,0.063,275.5,198.7,0.063,0.7
vanilla yogurt low fat,0.2,419,0.012,0.2,39.2,0.023,330.8,536.6,0.049,2
classique yogurt plain 2 liberte,0,0,0,0,0,0,0,0,0,0
yoplait light strawberry yogurt yoplait,0,0,0,0,0,0,0,0,0,0
vanilla yogurt,0.1,290.7,0.089,0.1,27.2,0.087,229.5,372.3,0.08,1.4
chocolate yogurt,0.2,132,0.3,0.6,60,0,249,508.5,0.069,1.7
yogurt parfait,0.048,156.5,0.025,0.7,25.3,0,138.6,281.6,0.088,1.3
yogurt,0.005,181.5,0.049,0.001,18,0.084,142.5,232.5,0.075,0.9
chocolate frozen yogurt,0.1,174,0.028,0.8,43.5,0,154.9,407.2,0.059,0.5
frozen yogurt,0.1,174,0.074,0.8,17.4,0,154.9,271.4,0.005,0.5
yogurt low fat,0.2,448.4,0.005,0.2,41.7,0.039,352.8,573.3,0.071,2.2
vanilla yoghurt oikos,0,0,0,0,0,0,0,0,0,0
fruit yogurt,0.013,207,0.1,0.066,19.5,0.029,163.5,265.5,0.026,1
danone low fat alsafi,0,0,0,0,0,0,0,0,0,0
fruit n yogurt parfait mcdonalds,0.065,128.1,0.092,0.7,20.9,0.3,125.2,248.8,0,0.5
triple zero greek yogurt dannon oikos,0,0,0,0,0,0,0,0,0,0
greek yogurt,0.081,187,0.021,0.1,18.7,0.004,229.5,239.7,0.032,0.9
chocolate rasberry protein mini proteinfx,0,0,0,0,0,0,0,0,0,0
gushers fruit gushers,0,0,0,0,0,0,0,0,0,0
egg fried,0.043,28.5,0.065,0.9,6,0.046,98.9,69.9,0.078,0.6
glucerna abbott,0,0,0,0,0,0,0,0,0,0
sports drink,0.073,0,0.098,0.1,2.4,0,21.6,24,0.088,0.056
peanut butter cookie protein syntha 6,0,0,0,0,0,0,0,0,0,0
hanfprotein pulver rohkostqualitat veganz,0,0,0,0,0,0,0,0,0,0
smoothie high protein creamy chocolate slimfast,0.2,0,0,0,0,0,0,0,0,0
egg large,0,0,0,0,0,0,0,0,0,0
boysenberries frozen,0.064,35.6,0.1,1.1,21.1,0.7,35.6,183.5,0.058,0.3
malt beverage,0.02,16.6,0.048,0.1,16.6,0.046,37.9,19,0.049,0.025
chocolate powder for milk,0.012,100.1,0.2,0,11.7,0.2,18.9,61.6,0.039,1.5
vegetable fruit juice,0.043,0.9,0.031,0.013,0.3,0.032,0.6,5.6,0.027,0.069
cocoa powder unsweetened,0.062,6.9,0.2,0.7,26.9,0.2,39.6,82.3,0.035,0.4
coconut milk,0.001,2.4,0.023,0.2,5.6,0.1,15,39.5,0.096,0.1
cocoa powder,0.034,9.3,0.049,0.075,5.8,0.01,22.1,49.8,0.069,0.1
rice drink,0.058,0.078,283.2,0.013,0.5,26.4,0.7,134.4,64.8,0.009
coconut water,0.3,57.6,0.029,0.7,60,0.3,48,600,0.045,0.2
caramel med iced coffee dunkin donuts,0,0,0,0,0,0,0,0,0,0
instant coffee with water decaffeinated,0.093,7.2,0.046,0.042,7.2,0.098,5.4,64.4,0.02,0.053
instant coffee powder,0.051,141,0.1,4.4,327,1.7,303,3535,0.024,0.4
instant coffee powder decaffeinated,0.09,2.5,0.031,0.056,5.6,0.084,5.1,63,0.015,0.004
instant cappuccino powder,0.074,17.3,0.078,0.036,5.6,0.014,23.8,108,0.064,0.058
coffee decaffeinated,0.058,4.7,0.028,0.1,11.9,0.083,2.4,128,0.042,0.084
espresso decaffeinated,0.011,0.6,0.085,0.087,24,0.093,2.1,34.5,0,0.036
instant coffee with water,0.015,7.2,0.026,0.015,7.2,0.001,5.4,53.7,0.054,0.013
coffee,0.075,4.7,0.045,0.051,7.1,0.076,7.1,116.1,0,0.039
espresso,0.083,0.6,0.022,0.049,24,0.023,2.1,34.5,0,0.02
whey protein powder vanilla eas,0,0,0,0,0,0,0,0,0,0
energy drink sugar free red bull,0.008,32.5,0.048,0.023,7.5,0.016,0,7.5,0.067,0
powerade coca cola,0.005,0.3,0,0.096,0,0,0.3,5.3,0,0.058
amp energy pepsi,0.093,31.2,0.044,0.053,7.2,0,40.8,7.2,0.075,0
gatorade g2 pepsi,0.011,0,0,0,0,0,2.1,3.8,0,0
amp energy sugar free pepsi,0.093,0,0.095,0,7.2,0,40.8,4.8,0.038,0
energy drink red bull,0.1,0,15.5,0.049,0.2,49,0.086,0,7.7,0.072
powerade zero ion4 coca cola,0.03,0.6,0.051,0.072,0.3,0,0,3,0,0.026
full throttle coca cola,0.071,31.2,0.054,0.037,7.2,0,0,7.2,0.083,0
passion fruit juice purple,0.084,9.9,0.1,0.9,42,0,61.8,686.7,0.001,0.1
pomegranate juice,0.089,27.4,0.06,0.2,17.4,0.2,27.4,532.9,0.065,0.2
cranberry apricot juice,0.007,22.1,0.051,0.4,7.4,0.3,12.3,149.5,0,0.05
pineapple juice,0.075,0.062,32.5,0.2,0.8,30,1.3,20,325,0.099
passion fruit juice yellow,0.003,9.9,0.1,0.6,42,0,32.1,686.7,0.098,0.1
orange apricot juice,0.096,12.5,0.024,0.3,12.5,0.091,20,200,0.086,0.1
tangerine juice,0.022,0,44.5,0.06,0.5,19.8,0.031,34.6,439.7,0.016
orange juice,0.067,0.053,22,0.06,0.4,22,0.056,34,400,0.067
grapefruit juice,0.061,0,22.2,0.004,0.5,29.6,0.037,37.1,400.1,0
pineapple grapefruit juice,0.054,17.5,0.1,0.8,15,1,15,152.5,0.025,0.2
tamarind nectar,0.046,25.1,0.054,1.9,10,0.079,5,67.8,0,0.089
apple juice,0.038,0,19.8,0.065,0.3,12.4,0.2,17.4,250.5,0.039
limeade,0.071,4.9,0.058,0,4.9,0.068,2.5,24.7,0.081,0.024
guava nectar,0.063,0.087,20.1,0.055,1,5,0.1,5,97.9,0
orange grapefruit juice,0.082,19.8,0.2,1.1,24.7,0.067,34.6,390.3,0.005,0.2
orange juice sainsburys,0,0,0,0,0,0,0,0,0,0
cranberry apple juice,0.061,7.4,0.07,0.2,2.5,0.1,4.9,41.7,0,0.015
pineapple orange juice,0.069,12.5,0.1,0.7,15,0.9,10,115,0.071,0.2
pear nectar,0.056,0,12.5,0.2,0.7,7.5,0.041,7.5,32.5,0.065
blackberry juice,0.072,30,0.3,1.2,52.5,0,30,337.5,0.093,1
lemon juice,0.046,0,14.6,0.073,0.2,14.6,0.091,19.5,251.3,0.09
cranberry grape juice,0.079,19.6,0.051,0.04,7.4,0.4,9.8,58.8,0,0.055
citrus fruit juice,0.051,22.3,0.065,2.8,14.9,0.2,24.8,277.8,0.036,0.011
prune juice,0.1,30.7,0.2,3,35.8,0.4,64,706.6,0.083,0.5
guanabana nectar,0.061,17.6,0.067,0.9,7.5,0.056,5,62.8,0.067,0.011
fruit juice,0.1,0,6,0.039,0.5,10,0,14,244,0.089
horchata,0.013,5.1,0.028,0.057,0.8,0.045,4.2,9.6,0.005,0.058
fruit punch,0.08,16.4,0.097,0.5,7,0.1,7,154.4,0,0.4
apricot nectar,0.025,17.4,0.2,0.9,12.4,0.008,22.3,282.7,0,0.2
orangensaft ja,0,0,0,0,0,0,0,0,0,0
fruchtcocktail granini,0,0,0,0,0,0,0,0,0,0
peach nectar,0.077,0,14.9,0.2,0.2,12.5,0.058,12.5,124.5,0.071
orange pineapple juice,0.044,2.4,0.09,0.086,3,0.1,3.2,44.3,0.076,0.072
cranberry juice,0.093,0.099,16,0.1,0.5,12,0,26,154,0.036
white grapefruit juice,0.018,22.2,0.035,0.5,29.6,0.032,37.1,400.1,0.019,0.1
mango nectar,0.061,0.047,42.7,0.087,0.9,7.5,0.007,5,60.2,0.025
acerola cherry juice,0.082,24.2,0.2,1.2,29,0,21.8,234.7,0.061,0.2
apple juice concentrate,0.049,42.2,0.1,1.9,35.9,0.5,52.8,945.3,0.067,0.3
papaya nectar,0.082,0.076,25,0.029,0.9,7.5,0.012,0,77.5,0.072
apple juice martinellis,0,0,0,0,0,0,0,0,0,0
lime juice,0.014,33.9,0.027,0.2,19.4,0.011,33.9,283.1,0.052,0.2
grape juice,0.003,27.8,0.025,0.6,25.3,0.6,35.4,263.1,0,0.2
water dannon,0,9.9,0,0,3.3,0,0,0,0,0
tap water,0.018,7.1,0.086,0,2.4,0,0,0,0,0.042
table water,0.044,70,0,0,0,0,0,0,0,0
fruit flavored water,0,40.3,0.061,0,7.1,0,0,0,0,0.8
water,0.024,23.7,0.098,0,4.7,0,0,0,0,0
cola light coca cola,0.087,0,0,0,0,0,0,0,0,0
lemon lime soda,0.024,7.4,0,0.061,3.7,0,0,3.7,0,0.065
tonic water,0.049,3.4,0.031,0.09,0,0.05,0,0,0,0.3
lemonade low calorie,0.013,66.9,0.04,0.1,2.4,0.057,31.1,2.4,0,0.011
ginger ale,0.043,0,6,0.024,0.4,2,0.087,0,2,0.078
ice tea lemon flavor nestle,0.063,7.4,0.068,0,2.5,0.3,88.2,46.6,0,0.1
sprite coca cola,0.021,0,4,0.042,0.2,2,0.017,0,2,0
cola coca cola,0.045,7.4,0,0.048,0,0,40.5,11,0.045,0.052
cola,0.072,0,4,0.012,0.2,0,0.081,20,4,0.038
cream soda,0.098,24.7,0.036,0.2,4.9,0.08,0,4.9,0,0.3
club soda,0.046,0,10,0.015,0.078,2,0.052,0,4,0
pink lemonade,0.01,8,0.011,0.092,4,0.094,4,34,0,0.093
grape soda,0.042,11.2,0.038,0.3,3.7,0.054,0,3.7,0,0.3
cola without caffeine coca cola,0.04,7.4,0,0.026,0,0,40.5,11,0.063,0.032
white lemonade,0.02,0,8,0.013,0.3,4,0.083,4,30,0.066
chocolate soda,0.031,19.7,0.022,0.5,4.9,0.2,4.9,246,0.015,0.8
sweet tea lipton,0,0,0,0,0,0,0,0,0,0
hibiscus tea,0.091,2,0.1,17.3,2,0,6,18,0,0.2
instant lemon tea,0.046,0,6,0.026,0.02,4,0.8,2,36,0
pesca tea santal,0,0,0,0,0,0,0,0,0,0
instant lemon tea sweetened,0.089,5.2,0.076,0,2.6,0.3,0,38.9,0.017,0.048
tea with milk and sugar yorkshire,0,0,0,0,0,0,0,0,0,0
tea blueberry muffin tekanne,0,0,0,0,0,0,0,0,0,0
chamomile tea,0.003,4,0.097,0.2,2,0.078,0,18,0,0.006
black tea,0.091,0,0.088,0.088,7.1,0.5,2.4,87.7,0,0.081
herb tea,0.064,4,0.059,0.2,2,0.019,0,18,0,0.006
clam tomato juice,0.6,13.3,0.011,0.2,8.3,0.073,18.3,147.7,0.097,0.1
tomato juice,0.063,0.056,24.3,0.1,0.9,26.7,0.2,46.2,527.3,0.067
vegetable juice,0.1,0.007,26.6,0.5,1,26.6,0.2,41.1,467.1,0.026
tomato vegetable juice,0.2,26.6,0.5,1,26.6,0,41.1,467.1,0.046,0.5
carrot juice,0.1,48,0.087,0.9,28,0.3,84,584,0.046,0.4
acorn dried,0,15.3,0.2,0.3,23.2,0.4,29.1,200.6,0,0.2
fenugreek seeds,0.09,19.5,0.1,3.7,21.2,0.1,32.9,85.5,0.025,0.3
peanut topping mcdonalds,0,13,0.1,0.4,54.6,0.6,103,179.4,0,0.8
beechnuts dried,0.068,0.3,0.2,0.7,0,0.4,0,305.1,0,0.1
breadnut tree seeds raw,0.084,27.7,0.4,0.6,19.2,0.015,19,334.8,0,0.3
cumin seeds,0.073,19.6,0.058,1.4,7.7,0.087,10.5,37.5,0.072,0.1
pili nuts dried,0.014,174,1.1,4.2,362.4,2.8,690,608.4,0,3.6
hazelnuts roasted,0,36.9,0.5,1.3,51.9,1.7,93,226.5,0.061,0.8
lupins cooked,0.4,84.7,0.4,2,89.6,1.1,212.5,406.7,0.084,2.3
hazelnuts blanched,0,42.2,0.5,0.9,45.3,3.6,87.7,186.2,0.015,0.6
brazilnuts dried,0.073,8,0.074,0.1,18.8,0.084,36.3,33,0.035,0.2
sunflower seeds dry roasted,0.067,5.6,0.1,0.3,10.3,0.2,92.4,68,0.021,0.4
ginkgo nuts canned,0.5,6.2,0.3,0.4,24.8,0.1,83.7,279,0.067,0.3
peanuts cooked,1.4,99,0.9,1.8,183.6,1.8,356.4,324,0.027,3.3
pumpkin squash seeds dried,0.013,59.3,1.7,11.4,763.7,5.9,1590.6,1043.6,0.078,10.1
cashew nuts raw,0.02,10.5,0.6,1.9,82.6,0.5,167.8,186.8,0.039,1.6
sunflower seeds dried,0.014,35.9,0.8,2.4,149.5,0.9,303.6,296.7,0.077,2.3
lotus seeds dried,0.024,52.2,0.1,1.1,67.2,0.7,200.3,437.8,0,0.3
butternuts dried,0.062,63.6,0.5,4.8,284.4,7.9,535.2,505.2,0.028,3.8
sesame seeds dried,0.049,87.8,0.4,1.3,31.6,0.2,56.6,42.1,0.047,0.7
breadfruit seeds,0.04,10.8,0.3,1.1,16.2,0.049,52.5,282.3,0,0.3
pinyon pine nuts dried,0.07,0.022,0.078,0.007,0.2,0.012,0.098,0.6,0,0.049
pine nuts dried,0.086,21.6,1.8,7.5,338.9,11.9,776.3,806,0.061,8.7
flaxseeds,0.035,26.3,0.1,0.6,40.4,0.3,66.1,83.7,0.05,0.4
safflower seed kernels dried,0.042,22.1,0.5,1.4,99.9,0.6,182.3,194.4,0,1.4
pistachio nuts raw,0.037,129.2,1.6,4.8,148.8,1.5,602.7,1260.8,0.078,2.7
peanuts raw,0.038,134.3,1.7,6.7,245.3,2.8,549,1029.3,0.032,4.8
poppy seeds,0.079,126.5,0.1,0.9,30.5,0.6,76.6,63.3,0.059,0.7
valencia peanuts raw,0.094,90.5,1.7,3.1,268.6,2.9,490.6,484.7,0.056,4.9
spanish peanuts,0.036,154.8,1.3,5.7,274.5,3.9,566.5,1086.2,0.077,3.1
dill seeds,0.037,100.1,0.009,1.1,16.9,0.1,18.3,78.3,0.075,0.3
caraway seeds,0.014,46.2,0.077,1.1,17.3,0.034,38.1,90.5,0.062,0.4
acorn raw,0,11.6,0.2,0.2,17.5,0.4,22.4,152.5,0,0.1
almonds roasted,0.029,87.3,0.3,1.1,82.2,0.7,139.8,209.7,0.017,0.9
lotus seeds raw,0.02,12.5,0.079,0.3,15.8,0.2,47.5,103.9,0,0.043
chestnuts cooked,0.046,13,0.1,0.5,15.3,0.2,28,202.3,0,0.02
alfalfa seeds,0.048,1,0.048,0.034,0.8,0.024,2.1,2.4,0.076,0.071
virginia peanuts roasted,0.018,25.8,0.4,0.5,56.4,0.6,151.8,195.6,0.006,2
hazelnuts raw,0,85.5,1.3,3.5,122.3,4.6,217.5,510,0.012,1.8
anise seeds,0.1,13.6,0.024,0.8,3.6,0.031,9.2,30.3,0.05,0.1
macadamia nuts roasted,0.064,21,0.2,0.8,35.4,0.9,59.4,108.9,0.085,0.4
studentenfutter alnatura,0,0,0,0,0,0,0,0,0,0
pumpkin squash seeds roasted,0.045,4.2,0.1,0.6,44,0.4,93.9,63,0.05,0.6
water chestnut raw,0.097,13.6,0.4,0.034,27.3,0.4,78.1,724.2,0.004,0.6
chestnuts roasted,0.043,4.4,0.075,0.1,5,0.2,16.1,88.8,0.037,0.086
ginkgo nuts raw,0.067,0.6,0.029,0.3,7.6,0.027,35.1,144.3,0,0.079
almonds raw,0.043,4,0.007,0.082,4,0.007,7.3,10.6,0.013,0.061
peanuts roasted,0.069,18.3,0.2,0.5,52.8,0.6,119.1,217.8,0.066,1
sunflower seeds toasted,0.8,76.4,2.5,9.1,172.9,2.8,1551.7,657.9,0.066,7.1
sisymbrium seeds,0.047,1208.4,0.052,0.098,232.4,1.1,4.4,1576.2,0,0.2
breadnut tree seeds dried,0.091,150.4,3.9,7.4,184,0.5,284.8,3217.6,0.011,3.1
pecans raw,0,76.3,1.3,2.8,131.9,4.9,301.9,446.9,0.039,4.9
chia seeds dried,0.047,178.6,0.3,2.2,94.8,0.8,243.4,115.2,0.035,1.3
japanese chestnuts roasted,0.079,9.9,0.2,0.6,18.1,0.6,26.3,120.8,0,0.4
sesame seeds toasted,0.07,79.1,0.2,1.2,28.5,0.2,51,38,0.03,0.6
cashew nuts roasted,0.091,12.9,0.6,1.8,81.9,0.5,159.3,189.6,0.02,1.6
lupins raw,0.009,316.8,1.8,7.8,356.4,4.3,792,1823.4,0.09,8.6
mustard seeds ground,0.017,5.3,0.055,0.2,7.4,0.078,16.6,14.8,0.003,0.1
mixed nuts roasted,0.1,21,0.4,1.1,67.5,0.6,130.5,207.9,0.053,1.1
salat mix alestro,0,0,0,0,0,0,0,0,0,0
chestnuts raw,0.02,39.2,0.6,1.5,46.4,1.4,134.9,751.1,0,0.8
pistachio nuts roasted,0.008,0.054,32.1,0.4,1.2,32.7,0.4,140.7,302.1,0.021
walnut,0.041,4.9,0.058,0.1,7.9,0.2,17.3,22.1,0.06,0.2
celery seeds,0.068,114.9,0.029,2.9,28.6,0.5,35.6,91,0.057,0.5
hickorynuts dried,0.053,73.2,0.9,2.5,207.6,5.5,403.2,523.2,0.038,5.2
spanish peanuts roasted,0.6,147,1,3.4,247,3.5,568.9,1140.7,0.083,2.9
woca seeds dried,0.048,7.6,0.041,0.4,24.3,0.3,64.8,156.5,0.021,1.8
pecans roasted,0.062,20.1,0.4,0.7,36.3,1.1,78.9,117.6,0.004,1.3
fennel seeds,0.097,23.9,0.051,0.4,7.7,0.1,9.7,33.9,0,0.042
chinese chestnuts roasted,0.052,5.4,0.1,0.4,25.5,0.5,28.9,135,0,0.3
watermelon seed kernels dried,0.1,58.3,0.7,7.9,556.2,1.7,815.4,699.8,0,11.1
macadamia nuts raw,0.011,4.5,0.009,0.2,6.8,0.2,9.9,19.3,0.064,0.034
pectin,0.1,3.5,0.2,1.4,0.5,0.094,1,3.5,0,0.2
black walnut dried,0.028,3.1,0.071,0.2,10.1,0.2,25.7,26.2,0.046,0.2
water chestnut canned,0.011,5.6,0.1,1.2,7,0.2,26.6,165.2,0.099,0.5
ginkgo nuts dried,0.045,5.7,0.2,0.5,15,0.059,76.1,282.4,0,0.2
virginia peanuts raw,0.008,129.9,1.6,3.7,249.7,2.5,554.8,1007.4,0.042,6.5
valencia peanuts roasted,0.004,16.2,0.3,0.5,48,0.5,95.7,183.6,0.046,0.9
nesfit diet cereal nestle,0,0,0,0,0,0,0,0,0,0
corn grits cooked,0.6,2.6,0,1.5,18,0.008,51.4,69.4,0.052,0.5
amaranth flakes,0.067,6.5,0.011,0.7,9.5,0,125.8,134.1,0.009,0.011
granola,0.01,45.6,0.4,2.4,100.8,2.4,258.6,323.4,0.087,2.5
muesli with fruit nuts,0.1,25.8,0.2,5.9,72,1.3,176.4,229.2,0.083,1.6
muesli master crumble,0,0,0,0,0,0,0,0,0,0
bran flakes,0.2,0.025,17.6,0.3,11.2,91.6,1.4,179.6,213.2,0.083
nut cereal,0.3,75.6,0.2,10.3,39,1,106.8,134.4,0.066,3
corn flakes,0.2,0,0.6,0.083,5.4,2,0.06,9.2,30,0.077
corn grits dry,0.054,0.4,0.086,0.3,3.5,0.029,10.8,13.7,0.024,0.046
margarine with yoghurt,0.018,2.8,0.001,0.027,0.3,0,2.2,3.5,0,0.008
sunflower seed butter,0.065,10.2,0.3,0.7,49.8,0.3,106.6,92.2,0.075,0.8
hazelnut oil,0,0,0,0,0,0,0,0,0,0
menhaden fish oil,0,0,0,0,0,0,0,0,0,0
cod liver fish oil,0,0,0,0,0,0,0,0,0,0
sardine oil,0,0,0,0,0,0,0,0,0,0
cupu assu oil,0,0,0,0,0,0,0,0,0,0
lard,0,0,0,0,0,0,0,0,0.012,0.089
sesame butter,0.031,153.6,0.7,3.1,57.9,0.4,105.4,93.1,0.088,1.2
