food,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats
dessert wine dry,0,0,0,0
red wine,0,0,0,0
cabernet sauvignon red wine,0,0,0,0
muscat white wine,0,0,0,0
cooking wine,0,0,0,0
chardonnay white wine,0,0,0,0
claret red wine,0,0,0,0
rice sake,0,0,0,0
fume blanc white wine,0,0,0,0
cabarnet franc red wine,0,0,0,0
chocolate frosting,3.6,1.1,1.8,0.5
white sugar,0,0,0,0
egg substitute,0,0,0,0
agave syrup,0.081,0,0,0
splenda sweetener,0,0,0,0
vanilla extract,0.069,0.003,0.06,0.001
egg yolk dried,2.3,0.7,0.9,0.4
granulated sugar,0,0,0,0
baking chocolate,15.2,9.4,4.7,0.5
bakers yeast,0.3,0.089,0.2,0.079
fondant,0.009,0,0,0
brown sugar,0,0,0,0
white frosting dry,0,0,0,0
maple sugar,0.061,0.076,0.037,0.09
fructose sweetener,0,0,0,0
saccharin sweetener,0,0,0,0
egg white raw,0.063,0,0,0
turbinado sugar,0,0,0,0
vanilla frosting,75,13.7,22.5,36.7
aspartame sweetener,0,0,0,0
egg raw,5.3,1.8,2,1.1
pineapple topping,0.3,0.066,0.1,0.2
egg white dried,0.087,0,0,0
egg yolk raw,4.5,1.6,2,0.7
baking soda,0,0,0,0
egg dried,2.2,0.7,0.9,0.3
strawberry topping,0.096,0.071,0.083,0.063
bakers yeast dry,0.3,0.078,0.2,0.069
almond paste,63,6,40.9,13.2
cream of tartar,0,0,0,0
popover dry mix,7.3,1.7,3.4,1.4
egg substitute powder,3.7,1.1,1.5,0.5
gelatin powder,0.086,0.09,0.054,0.063
tapioca pearls,0.093,0.075,0.088,0.057
baking powder,0,0,0,0
egg boiled,6.4,2,2.4,0.8
millet flour,5.1,0.6,1.1,3.1
triticale flour,2.4,0.4,0.2,1
corn flour white,4.2,0.6,1.1,2
rice flour brown,4.4,0.9,1.6,1.6
sorghum flour,4,0.6,1.1,1.7
cornmeal whole grain,4.4,0.6,1.2,2
cornmeal white,2.7,0.3,0.5,1
barley flour,2.4,0.5,0.3,1.1
safflower seed meal,0.7,0.029,0.099,0.4
sesame flour,46.4,6.5,17.5,20.3
whole grain wheat flour,3,0.5,0.3,1.4
corn flour yellow,4.5,0.6,1.2,2.1
corn flour whole grain,4.5,0.6,1.2,2.1
cottonseed flour low fat,0.4,0.082,0.046,0.2
sunflower seed flour,0.013,0.036,0.059,0.077
sesame meal,13.6,1.9,5.1,6
acorn flour,37.7,4.9,23.9,7.3
rice flour white,2.2,0.6,0.7,0.6
sesame flour low fat,0.5,0.011,0.2,0.2
potato flour,0.5,0.1,0.063,0.2
cornmeal yellow,2.7,0.3,0.5,1
rye flour,1.4,0.2,0.2,0.6
arrowroot flour,0.1,0.019,0.088,0.036
chickpea flour,6.2,0.6,1.4,2.7
wheat flour,1.2,0.2,0.1,0.5
cornstarch,0.03,0.077,0.046,0.012
carob flour,0.061,0.041,0.088,0.052
buckwheat flour,3.7,0.8,1.1,1.1
pecan pie,27.1,4.9,13.6,7
apple pie,15.6,3.8,6.7,4.2
vanilla wafer pie crust,63.7,13.1,27.5,18.8
chocolate pie crust,40.8,8.6,26.4,3.7
apple strudel,8,1.5,2.3,3.8
chocolate snack cake,8,2.4,4.3,0.9
fruit fried pie,20.6,3.1,9.5,6.9
pumpkin pie,14.4,4.9,5.7,2.8
corn cake,0.2,0.019,0.032,0.098
sponge snack cake,4.8,1.7,2.1,0.8
danish pastry with nuts,16.4,3.8,8.9,2.8
chocolate cream pie,19.2,4.9,11,2.4
angel food cake,0.2,0.071,0.095,0.1
lemon meringue pie,16.4,4,7.1,4.2
danish pastry with cinnamon,16.7,3.5,10.6,1.6
cinnamon coffeecake,13.3,3.3,7.4,1.8
cheesecake,18,7.9,6.9,1.3
fruitcake,3.9,0.5,1.8,1.4
egg custard,12.9,6.1,3.9,1.2
mince pie,17.8,4.4,7.7,4.7
yellow cake with chocolate frosting,25.6,8.3,10.4,6.8
danish pastry with fruit,15.9,3.3,10.1,1.6
white cake with coconut frosting,11.5,4.4,4.1,2.4
danish pastry with cheese,24.6,5.1,15.6,2.4
graham cracker pie crust,45.4,9.1,31,3.1
blueberry pie,17.5,4.3,7.5,4.5
yellow cake with vanilla frosting,9.3,1.5,3.9,3.3
pie crust,8,2,3.5,2.1
chocolate cake with chocolate frosting,27.7,8.2,10.1,6.4
cheese coffeecake,11.6,4.1,5.4,1.3
vanilla cream pie,18.1,5.1,7.6,4.3
pineapple cake,13.9,3.4,6,3.8
peach pie,11.7,1.8,5,4.4
fruit coffeecake,5.1,1.2,2.8,0.7
pound cake,6,3.5,1.8,0.3
pound cake bread,9.6,1.7,2.4,5.2
white cake,9.2,2.4,3.9,2.3
coffeecake with chocolate frosting,9.7,2.5,5.1,1.3
popcorn cake,0.3,0.074,0.06,0.1
banana cream pie,161.3,44.6,67.8,39
baked apple pie mcdonalds,4.4,1.1,2.6,0.3
sponge cake,2.7,0.8,1,0.4
yellow cake,9.9,2.7,4.2,2.4
shortcake,4,1.1,1.7,1
cherry pie,22,5.4,9.6,5.8
dutch apple pie,15.8,3.2,7.9,2.9
chocolate cake,14.3,5.2,5.7,2.6
marshmallow,0.033,0.045,0.035,0.06
sugar apple,0.2,0.009,0.031,0.095
toffee,3.9,2.5,1.1,0.1
vanilla fudge with nuts,3.9,1.1,0.7,1.9
peanuts chocolate coated,1.3,0.6,0.5,0.2
caramel with nuts chocolate coated,2.9,0.7,1.3,0.8
gingerbread,12.1,3.1,5.3,3.1
rolo nestle,1,0.6,3.4,2.9
vanilla fudge,1.5,1,0.4,0.084
halavah,15.1,2.9,5.7,5.9
praline,10.1,0.9,5.7,3
fruit juice bar,0.089,0,0,0.026
peanut brittle,5.4,1.2,2.3,1.3
butterscotch,0.2,0.1,0.07,0.076
chocolate coffee beans,9.4,5.1,3.9,0.4
nougat with almonds,0.2,0.2,0,0
carob,7.8,7.3,0.1,0.028
peanut butter fudge,1.1,0.3,0.5,0.3
sugar coated almonds,0.6,0.016,0.4,0.1
chocolate coated marshmallow,4.7,1.3,2.6,0.5
raisins chocolate coated,14.8,10.3,3.1,0.6
chewing gum sugarless,0.013,0.09,0.081,0.038
chewing gum,0.032,0.058,0.06,0.015
chocolate syrup,0.4,0.2,0.1,0.011
chocolate fudge syrup,1.7,0.8,0.7,0.086
m ms milk chocolate mars,8.9,5.5,2.2,0.4
milk chocolate with almonds,14.1,7.3,4.9,1.2
chocolate fudge,1.8,1.1,0.5,0.055
milk chocolate with rice cereal,0,0,0,0
m ms peanut chocolate mars,4.7,1.8,1.5,0.6
dark chocolate,9.7,5.7,2.9,0.3
chocolate semisweet,50.4,29.8,16.7,1.6
after eight mints nestle,1,0.7,0,0
milk chocolate,2.1,1.3,0.5,0.036
white chocolate,9.6,5.8,2.7,0.3
chocolate,14,8.2,4.6,0.4
twix mars,7.2,5.5,0.9,0.2
kit kat nestle,3.3,2.2,0.6,0.097
snickers mars,13.6,5.2,4.5,1.7
milky way mars,10,7,1.3,0.2
clif bar,4,1,0.7,1.5
gum drops,0.042,0.05,0.1,0.012
skittles wild berry mars,2.6,2.6,0,0
skittles original mars,2.7,2.6,0,0
skittles tropical mars,2.7,0,0,0
fruit leather,0.4,0.025,0.2,0.05
taffy,0.5,0.3,0.1,0.045
eisbonbons mac iver,0,0,5.6,4
caramels,0.8,0.3,0.2,0.4
hard candy,0.067,0,0,0
jellybeans,0.043,0,0,0
jellies,0.069,0.033,0.059,0.071
wheat germ toasted,3.2,0.5,0.5,2
crispy brown rice,1.1,0.2,0.3,0.5
bran flakes asda,0.6,0.2,19.5,3.6
amaranth cooked,3.9,0,0,0
triticale,4,0.7,0.4,1.8
barley raw,0.1,0.041,0.096,0.038
bulgur dry,0.7,0.1,0.06,0.3
cottonseed kernels roasted,54.1,14.5,10.3,26.9
rice bran,24.6,4.9,8.9,8.8
chaptti roti indian bread,2.5,2.5,99.9,17.5
quinoa cooked,3.6,0.4,1,2
dar vida swiss original,3.1,0.3,17.8,2.8
teff cooked,1.6,0,0,0
couscous dry,1.1,0.2,0.2,0.4
weetabix weetabix,11.5,396.1,68.9,57.4
oat bran cooked,1.9,0.4,0.6,0.7
buckwheat cooked,1,0.2,0.3,0.3
millet puffed,0.7,0.1,0.2,0.4
oat bran raw,0.5,0.077,0.2,0.2
popcorn oil popped,4.8,0.8,1.1,2.6
kamut cooked,1.6,0,0,0
wheat bran,2.5,0.4,0.4,1.3
cheese popcorn,3.7,0.7,1.1,1.7
raisin bran crunch kelloggs,0.5,0,0,0
couscous cooked,0.3,0.091,0.063,0.1
multigrain cheerios general mills,0.005,0,0.08,0.095
bulgur cooked,0.4,0.053,0.083,0.2
popcorn air popped,0.4,0.011,0.014,0.2
teff raw,4.6,0.9,1.1,2.1
spelt cooked,1.6,0,0,0
millet raw,8.4,1.4,1.5,4.3
popcorn unpopped,1.2,0.2,0.3,0.7
whole wheat cooked,1,0.1,0.1,0.5
wheat sprouted,1.4,0.2,0.2,0.6
whole wheat dry,0.6,0.031,0.095,0.3
caramel popcorn,3.6,1,0.8,1.3
wheat puffed,0.1,0.025,0,0
roggenmischbrot sonnenblumenkerne aldi,3.1,9.9,2.5,0
wheat germ,3,0.5,0.4,1.9
microwave popcorn,26.3,12.7,9.2,3.6
millet cooked,1.7,0.3,0.3,0.9
kamut raw,4.1,0.4,0.4,1.1
wheat durum,4.7,0.9,0.7,1.9
sorghum,6.3,0.9,1.9,2.6
white wheat,3.3,0.5,0.4,1.4
rye,2.8,0.3,0.4,1.3
spelt raw,4.2,0.7,0.8,2.2
buckwheat raw,0.4,0.007,0.1,0.1
honey cereali general mills,2,21.2,3,188
barley cooked,0.7,0.1,0.039,0.3
oats,0.7,0.1,0.2,0.3
amaranth raw,0.7,0.1,0.2,0.3
semolina,1.8,0.3,0.2,0.7
quinoa dry,3.6,0.4,1,2
wheat shredded,1,0.2,0.2,0.6
cattail,0,0,0,0
peanut granola bar,5.7,0.8,1.7,2.9
vanilla bluberry bar kind,1.4,8.4,2.5,0.7
coconut granola bar,9.1,6.4,1.4,0.9
almond granola bar,6.1,3,1.9,0.9
chocolate chip granola bar,3.9,2.7,0.6,0.3
fruit granola bar,0.2,0.034,0.032,0.093
granola bar,4.2,0.5,0.9,2.5
peanut bar,13.5,1.9,6.7,4.3
milk cereal bar,2.7,2.3,0.3,0.01
almond rice bar,5.7,1.1,2.1,2.2
fruit nut squares,1.3,0.1,0.2,1
rice wheat cereal bar,2,0,1.4,0.5
crisped rice bar,3.8,1.5,1.1,1
brown rice raw,5.4,1.1,2,1.9
rice pilaf cooked,8.8,1.8,3.7,3
beef flavored rice raw,2.3,0,0,0
wild rice cooked,0.6,0.078,0.03,0.3
wild rice raw,1.7,0.2,0.3,1.1
congee with pork shrimp and squid plus egg,0.3,39.3,2.8,0
white rice pasta cooked,5.7,1.1,2.3,1.9
chicken flavored rice raw,2.2,0.7,0.6,0.8
instant white rice raw,0.9,0.1,0.1,0.2
rice crisps,0.4,0.065,0.017,0.09
parboiled white rice raw,1.9,0.5,0.5,0.6
instant white rice cooked,0.8,0.088,0.1,0.032
rice pilaf raw,2.8,0,0,0
rice cracker cake,1.2,0.2,0.4,0.4
parboiled white rice cooked,0.6,0.1,0.1,0.1
white rice steamed,0.4,0,0,0
brown rice cake,0.3,0.062,0.083,0.005
glutinous white rice raw,1,0.2,0.4,0.4
white rice pasta raw,4,0.7,1,1.6
glutinous white rice cooked,0.3,0.056,0.1,0.1
brown rice cooked,1.6,0.3,0.6,0.6
beef flavored rice cooked,7.9,2.1,3.5,2.9
white rice cooked,0.4,0.1,0.1,0.1
chicken flavored rice cooked,8,1.7,3.3,2.7
white rice raw,1.2,0.3,0.4,0.3
cheese imitation,36.2,6.6,16,12
cheshire cheese,8.7,5.5,2.5,0.2
monterey cheese,34.2,21.5,9.9,1
edam cheese,8.3,5.6,2.4,0.2
fontina cheese,33.6,20.7,9.4,1.8
monterey cheese low fat,24.4,15.9,6.4,0.9
colby cheese,36.3,22.8,10.5,1.1
american cheese,7.9,4.5,2.1,0.3
blue cheese,8.6,5.6,2.3,0.2
nectarine,0.5,0.066,0.1,0.2
kiwifruit gold,0.2,0.008,0.099,0.051
prickly pear raw,0.072,0,0,0
pineapple,0.1,0.074,0.001,0.087
rowan,4.6,0.6,0,0
muscadine grapes,0.056,0,0,0
heidelbeeren jutro,0.2,0.039,2.5,2.4
prunes stewed,0.7,0.085,0.5,0.1
tangerine,0.2,0.07,0.097,0.05
prunes,0.5,0.057,0.3,0.1
lemon peel,0.002,0.057,0.024,0.095
banana,0.5,0.2,0.096,0.1
raspberries,0.034,0.005,0.063,0.098
apricot,0.1,0.03,0.099,0.028
strawberry guava,0.008,0.039,0.004,0.041
kiwifruit green,0.4,0.095,0.084,0.2
figs,0.2,0.068,0.008,0.078
clementine,0.1,0,0,0
orange,0.2,0.008,0.099,0.005
bartlett pear,0.3,0,0,0
red white currants,0.2,0.043,0.091,0.089
blueberries,0.5,0.047,0.043,0.2
mulberries,0.049,0.004,0.016,0.065
java plum,0.029,0,0,0
prune puree,0.02,0.038,0,0
applesauce,0.2,0.028,0.036,0.09
blackberries raw,0.7,0.076,0.03,0.4
plum,0.2,0.062,0.003,0.022
american grapes,0.087,0.029,0.082,0.074
peach,0.4,0.034,0.1,0.1
honeydew melon,0.2,0.055,0.049,0.1
yellow plantain fried,12.7,3.1,3.9,3.8
rose hips,0.4,0,0,0
lemons,0.2,0.063,0.046,0.031
lime,0.1,0.087,0.002,0.095
pomegranate,1.6,0.2,0.1,0.1
gooseberries,0.9,0.001,0.06,0.5
asian pear,0.3,0.009,0.091,0.091
abiyuch,0.2,0.065,0,0
horned melon kiwano,2.6,0,0,0
fruit walnut salad mcdonalds,13.3,1.8,2.1,8.5
grapefruit,0.2,0.092,0.048,0.006
japanese persimmon,0.3,0.089,0.077,0.086
wild raspberries,0.4,0,0,0
pink lady apple,0.1,0,0,0
maraschino cherries,0.083,0.06,0.015,0.033
black currants,0.5,0.019,0.081,0.2
plantain cooked,0.3,0.1,0.02,0.052
crab apple,0.3,0.064,0.022,0.018
pom potes materne,0.2,0.2,4.8,3.8
apple,0.3,0.043,0.002,0.094
cantaloupe melon,0.3,0.071,0.079,0.1
prickly pear cooked,0.043,0,0,0
guava,0.5,0.1,0.054,0.2
strawberries,0.069,0.057,0.06,0.036
japanese persimmon dried,0.2,0,0,0
watermelon,0.4,0.026,0.1,0.1
elderberries,0.7,0.005,0.1,0.4
kumquat,0.2,0.063,0.037,0.042
orange peel,0.017,0.046,0.073,0.07
pokeberry shoots cooked,0.7,0,0,0
breadfruit,0.5,0.1,0.05,0.1
pear,0.2,0.019,0.1,0.2
sour cherries,0.3,0.069,0.023,0.09
plantain raw,0.6,0.3,0.002,0.1
blackberries frozen,0.6,0.017,0.006,0.4
cherries,0.056,0.053,0.093,0.047
plantain fried,0.6,0.2,0.2,0.1
carambola starfruit,0.3,0.077,0.01,0.2
chayote cooked,0.8,0.1,0,0
apple dippers mcdonalds,0,0,0,0
white grapefruit,0.2,0.072,0.036,0.032
cherimoya,1.6,0.5,0.1,0.4
melon balls,0.4,0.1,0.032,0.2
golden delicious apple,0.2,0,0,0
pokeberry shoots raw,0.6,0,0,0
cranberries,0.014,0.089,0.011,0.096
quince,0.012,0.049,0.033,0.089
chayote raw,0.2,0.027,0.053,0.021
orange with peel,0.5,0.036,0.003,0.048
chokecherries,2.6,0,0,0
mango,1.3,0.3,0.5,0.2
wild plum,0.3,0,0,0
jeijoa,1,0.3,0.1,0.3
groundcherries,1,0,0,0
pesca,0.1,6.1,0.8,0
persimmon,0.1,0,0,0
grapes,0.044,0.041,0.012,0.008
rambutan canned,0.4,0,0,0
figs canned,0.039,0.066,0.066,0.045
prunes canned,0.5,0.072,0.3,0.1
pineapples canned,0.05,0.079,0.039,0.078
prune plums canned,0.075,0.006,0.035,0.096
tangerines canned,0.1,0.087,0.086,0.04
fruit cocktail canned,0.053,0.03,0.04,0.042
sour cherries canned,0.3,0.007,0.033,0.087
mangosteen canned,1.1,0,0,0
apricot juice,0.07,0.008,0.048,0.065
strawberries canned,0.7,0.064,0.03,0.3
peach canned,0.094,0.03,0.026,0.067
fruit salad canned,0.008,0.08,0.005,0.006
gooseberries canned,0.5,0.004,0.097,0.3
grapefruit canned,0.2,0.09,0.011,0.066
pear canned,0.001,0.099,0.049,0.034
raspberries canned,0.3,0.081,0.012,0.2
papaya canned,0.2,0.1,0.006,0.026
grapes canned,0.3,0.034,0.072,0.006
apple dried,0.2,0.088,0.022,0.041
peach dried,0.6,0.055,0.2,0.3
plantain chips,8.4,2.4,1.6,3.3
golden raisins,0.8,0.2,0.016,0.2
raisins seeded,0.9,0.3,0.036,0.3
zante currants dried,0.4,0.009,0.003,0.3
pear dried,0.2,0.003,0.01,0.065
raisins,0.056,0.005,0.063,0.004
prune plums dried,0.5,0.01,0.4,0.1
cranberries dried,1.6,0.1,0.2,0.8
figs dried,0.008,0.014,0.003,0.037
longans dried,0.091,0,0,0
banana chips,9.5,8.2,0.6,0.2
lychee dried,0.003,0.076,0.004,0.061
apricot dried,0.015,0.02,0.083,0.031
longan,0.076,0,0,0
mamey sapote,0.8,0.3,0.2,0.2
waxgourd cooked,0.4,0.026,0.076,0.2
jackfruit,0.2,0.071,0.004,0.002
loquats,0.071,0.085,0.035,0.023
mammy apple mamey,4.2,1.2,1.7,0.7
nance,1.3,0,0,0
coconut whole coconut,71.5,672,48,0
prickly pear,0.5,0.014,0.038,0.2
lychee,0.016,0.06,0.03,0.067
naranjilla lulo pulp,0.3,0,0,0
coconut meat dried,18.3,16.2,0.8,0.2
waxgourd raw,0.3,0.036,0.024,0.1
surinam cherry pitanga,0.059,0,0,0
passion fruit,0.1,0.098,0.051,0.053
sapodilla,1.9,0.3,0.9,0.05
pummelo,0.06,0,0,0
coconut meat,133,117.9,5.7,1.5
soursop,0.7,0.1,0.2,0.2
papaya,0.4,0.1,0.1,0.051
acerola cherry,0.052,0.074,0.086,0.036
ohelo berries,0.3,0,0,0
loganberries,0.5,0.053,0.023,0.3
casaba melon,0.2,0.012,0.046,0.012
durian,1.9,0,0,0
coriander leaves raw,0.086,0.044,0.01,0.064
garden cress raw,0.062,0.052,0.049,0.062
pasilla peppers dried,1.1,0,0,0
parsley dried,0.096,0.064,0.086,0.093
ancho pepper dried,1.4,0.1,0.08,0.8
coriander seeds,0.3,0.049,0.2,0.074
dill weed dried,4.4,0.2,0,0
borage,0.6,0.2,0.2,0.017
epazote,0.06,0,0,0
chives dried,0.055,0.051,0.093,0.023
thyme fresh,0.068,0.07,0.056,0.085
butterbur,0.2,0,0,0
wasabi root,0.8,0,0,0
rosemary dried,0.2,0.083,0.029,0.085
ginger root,0.028,0.048,0.067,0.046
white pepper,0,0.002,0.049,0.032
cloves ground,0.3,0.017,0.037,0.2
paprika,0.9,0.1,0.1,0.5
mace ground,1.7,0.5,0.6,0.2
bay leaf,0.042,0.08,0.095,0.076
eppaw,1.8,0,0,0
tarragon dried,0.047,0.01,0.081,0.068
ginger ground,0.043,0.088,0.021,0.095
savory ground,0.029,0.085,0,0
black pepper,0.006,0.034,0.04,0.065
spearmint fresh,0.089,0.049,0.068,0.022
poultry seasoning,0.3,0.1,0.094,0.079
nutmeg ground,0.8,0.6,0.056,0.088
curry powder,0.9,0.1,0.3,0.2
peppermint,0.004,0.016,0.034,0.051
salt,0,0,0,0
coriander leaves dried,0.098,0.099,0.09,0.081
sage ground,0.046,0.07,0.069,0.013
garlic powder,0.029,0.003,0.045,0.016
dill weed fresh,0.063,0.064,0.022,0.052
cardamom,0.1,0.065,0.038,0.071
saffron,0.092,0.047,0.1,0.05
allspice ground,0.2,0.034,0.084,0.063
parsley fresh,0.078,0.016,0.037,0.01
oregano dried,4.3,1.6,0.7,1.4
marjoram dried,0.1,0.056,0.076,0.093
chives raw,0.088,0.083,0.09,0.002
fireweed leaves,0.6,0,0,0
rosemary fresh,0.1,0.016,0,0.072
garlic,0.026,0.033,0.078,0.089
cinnamon ground,0.044,0.074,0.08,0.044
chervil dried,0.002,0.066,0.033,0.031
cayenne pepper,0.094,0.043,0.082,0.023
turmeric ground,0.2,0.093,0.014,0.019
mustard,0.2,0.021,0.1,0.086
chili powder,0.4,0.061,0.029,0.2
thyme dried,7.4,2.7,0.5,1.2
spearmint dried,0.018,0.09,0.018,0.057
basil dried,0.027,0.02,0.038,0.076
dandelion greens cooked,0.6,0,0,0
basil fresh,0.089,0.069,0.019,0.03
dock,0.9,0,0,0
garden cress cooked,0.8,0.001,0.3,0.3
onion powder,0.024,0.068,0.036,0.077
dandelion greens raw,0.4,0.012,0.041,0.2
yokan,0.022,0.064,0.072,0.003
fava beans cooked,0.7,0.1,0.1,0.3
french beans raw,3.7,0.4,0.3,2.2
chickpeas canned,7,0.5,1.2,2.4
yellow beans cooked,1.9,0.5,0.2,0.8
mung beans cooked,0.8,0.2,0.1,0.3
white beans canned,0.8,0.2,0.073,0.3
pink beans cooked,0.8,0.2,0.045,0.4
pink beans raw,2.4,0.6,0.2,1
navy beans raw,3.1,0.4,0.5,2.9
snap beans cooked,0.4,0.005,0.02,0.2
black eyed cowpeas raw,0.5,0.1,0.003,0.2
edamame cooked,8.1,1,2,3.3
black eyed cowpeas cooked,0.6,0.2,0.1,0.3
hyacinth beans cooked,1.1,0.2,0.076,0.5
cowpeas canned,1.3,0.3,0.1,0.6
pinto beans cooked,1.1,0.2,0.2,0.3
winged beans cooked,10,1.4,3.7,2.7
pinto beans raw,2.4,0.5,0.4,0.8
black turtle beans raw,1.7,0.4,0.1,0.7
fava beans raw,2.3,0.4,0.5,0.9
lima beans canned,0.4,0.095,0.087,0.2
hyacinth beans raw,3.5,0.6,0.2,1.5
white beans raw,1.7,0.4,0.1,0.7
snap beans canned,0.4,0.1,0.027,0.2
navy beans canned,1.1,0.3,0.073,0.5
mung beans raw,2.4,0.7,0.3,0.8
adzuki beans raw,1,0.4,0.034,0.2
black turtle beans cooked,0.6,0.2,0.002,0.3
pink lentils raw,4.2,0.7,1,2.2
yellow beans raw,5.1,1.3,0.4,2.2
white beans cooked,0.6,0.2,0.044,0.3
lentils raw,2,0.3,0.4,1
cranberry beans cooked,0.8,0.2,0.088,0.4
chickpeas raw,12.1,1.3,2.7,5.4
lentils cooked,0.8,0.1,0.1,0.3
baked beans canned,0.9,0.2,0.2,0.3
cranberry beans canned,0.7,0.2,0.083,0.3
black beans cooked,0.9,0.2,0.02,0.4
lima beans cooked,0.7,0.2,0.022,0.3
mungo beans raw,3.4,0.2,0.2,2.2
pigeon peas raw,3.1,0.7,0.065,1.7
fava beans canned,0.6,0.092,0.1,0.2
yellow snap beans raw,0.1,0.097,0.094,0.013
snap beans raw,0.2,0.051,0.016,0.1
yellow snap beans canned,0.2,0.076,0.064,0.1
pigeon peas cooked,0.6,0.1,0.05,0.3
catjang cowpeas raw,3.5,0.9,0.3,1.5
navy beans cooked,1.1,0.2,0.3,0.9
mothbeans raw,3.2,0.7,0.3,1.5
cowpeas cooked,0.4,0.037,0.039,0.2
mothbeans cooked,1,0.2,0.062,0.5
french beans cooked,1.3,0.1,0.046,0.8
lima beans raw,1.2,0.3,0.1,0.6
winged beans raw,29.7,4.2,10.9,7.9
adzuki beans cooked,0.2,0.067,0.021,0.024
black beans raw,2.8,0.7,0.2,1.2
catjang cowpeas cooked,1.2,0.3,0.1,0.5
baby lima beans cooked,0.5,0.1,0.06,0.3
cowpeas raw,0.3,0.082,0.074,0.1
shellie beans canned,0.5,0.034,0.07,0.3
yardlong beans raw,2.2,0.6,0.2,0.9
pinto beans canned,1.3,0.3,0.3,0.5
chickpeas cooked,4.2,0.4,1,1.9
cranberry beans raw,2.4,0.6,0.2,1
mungo beans cooked,1,0.065,0.001,0.6
tamarinds,0.013,0.023,0.038,0.036
yellow snap beans cooked,0.4,0.037,0.065,0.2
yardlong beans cooked,0.8,0.2,0.027,0.3
bacon beef steak,12.5,4.5,6.2,1.2
lamb foreshank raw,60.7,26.4,24.9,4.8
bacon,10.2,0,0,0
lamb rib cooked,76,32.6,31.9,5.5
lamb shank raw,61.2,26.3,25.1,4.9
scrapple,3.9,1.3,1.7,0.5
chicken nuggets,4.1,0.7,1.5,1.3
ground lamb cooked,61.5,25.4,26,4.4
lamb meat cooked,45,18.6,19.1,3.2
meat extender,2.6,0.4,0.6,1.5
lamb leg raw,77.4,33.7,31.8,6.1
lamb loin cooked,14.8,6.3,6.2,1.1
chicken patty,11.7,2.2,5,2.9
lamb shank roasted,33.5,13.7,14.2,2.4
barbecue loaf,2,0.7,1,0.2
lamb sirloin cooked,54.2,22.9,22.8,3.9
poultry salad,1.8,0.4,0.4,0.8
ground lamb raw,6.6,2.9,2.7,0.5
lamb loin raw,7.5,3.3,3.1,0.6
lamb sirloin raw,100.3,44.1,41.2,7.8
sausage patty mcdonalds,11.2,3.6,4.7,1.4
lamb foreshank cooked,19.9,8.3,8.4,1.4
ham salad,7,2.3,3.2,1.2
lamb rib raw,156,68.8,64.1,12.2
lamb shoulder raw,97.3,42.1,39.9,7.8
lamb meat raw,84.6,36.6,34.7,6.7
lamb shoulder cooked,53.5,22.5,21.9,4.4
mutton cooked,3.1,1.5,1.3,0.2
lamb leg cooked,43.7,18.3,18.4,3.1
beef stick,9.9,4.2,4.1,0.9
veal sirloin cooked,26.9,10.6,10.6,1.8
veal rib cooked,22.2,8.8,8.2,1.7
veal meat cooked,23.8,8.9,9.2,1.7
beef rib roasted,19.1,7.7,8.2,0.7
veal sirloin raw,35.4,15.2,13.8,2.3
beef top loin filet grilled,19,6.5,8.6,0.6
beef under blade steak cooked,46.7,17.9,22.6,2.3
mock tender steak raw,8.3,3.6,4.3,0.7
ground beef cooked,24.8,10,12,0.7
ground beef raw,136.1,51.2,59.7,3.2
beef diced asda,0.7,0.3,0,0
veal rib raw,40.9,16.8,15.6,2.9
ground veal raw,1.9,0.8,0.7,0.1
t bone steak cooked,74.1,30.3,33.3,3.3
veal leg round raw,14,5.4,5.1,1.1
beef top sirloin steak raw,77.3,31.2,33.1,2.9
beef plate steak grilled,35.6,12.9,14.3,2
ground veal cooked,22.6,9.1,8.5,1.6
veal leg round cooked,17.2,6.9,6.4,1.3
porterhouse steak raw,91.1,36.4,40.6,3.4
veal shank raw,15.8,4.8,5.7,1.6
veal breast cooked,47.5,18.5,22.7,3.2
corned beef canned,3.1,1.3,1.3,0.1
rib eye steak grilled,47.7,21.2,23,2.2
veal shoulder raw,0,0,0,0
t bone steak raw,76.3,30.4,33.9,2.8
sirloin steak,14.1,5.2,6.1,1.1
mock tender steak cooked,4.9,1.5,2.3,0.3
beef round steak cooked,12.1,4.3,5.1,0.5
chuck blade roast raw,88,35.5,38.6,3.2
beef shoulder steak raw,17.3,7.5,9,1.8
beef top blade cooked,10,3.3,4.6,0.4
corned beef cooked,4,1.3,1.9,0.1
beef round steak raw,36,14.2,15.5,1.4
beef shoulder steak grilled,5.8,2.5,3,0.6
chuck eye steak raw,62.8,26.7,29.7,4.5
beef bottom round steak cooked,35.1,12.1,14.7,1.5
porterhouse steak cooked,16.4,6.2,7.4,0.6
beef under blade steak raw,80.8,32.6,37.4,5.9
beef plate steak raw,46.8,19,20.6,2.3
beef meat canned,7.9,3.9,3.6,0.4
beef breakfast strips raw,8.8,3.6,4.2,0.5
beef brisket cooked,43.6,16.8,19.4,1.5
corned beef raw,67.6,21.5,32.6,2.4
beef mince meat asda,3.1,1.3,0,0
pastrami beef fat free,0.1,0,0.036,0.099
rib eye steak raw,54.5,24,25.7,2.6
beef tenderloin steak cooked,24,9.4,10,0.9
chuck blade roast cooked,62,24.7,26.8,2.2
cured beef dried,0.019,0.086,0.088,0.007
