food,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats
sweet gefilte fish,0.7,0.2,0.3,0.1
poached egg,4.7,1.6,1.8,1
tostada with beef cheese,16.3,10.4,3.3,1
tostada with beans cheese,9.9,5.4,3.1,0.7
pork tamale,12.8,3.8,4.6,2.9
nachos with cheese,17.2,1.7,11.2,4
pulled pork in barbecue sauce,11,3.5,4.5,1.9
baked potato with cheese sauce,28.7,10.6,10.7,6
baked beans,10.3,3.9,4.3,1.5
arroz con frijoles,5.6,1.1,1.3,2.3
taco with beef cheese lettuce,8.8,3,3,2.1
burrito with beans cheese beef,6.6,3.6,2.2,0.5
egg mix,2.2,0.8,0.8,0.4
falafel,3,0.4,1.7,0.7
taco salad with chili con carne,8.8,4,3,1
wonton wrappers,0.5,0.022,0.033,0.2
hushpuppies,20.5,3.2,5,11
chicken pot pie,34.6,12.6,11.9,8.3
general tsos chicken,87.5,14.8,20.8,40.1
burrito with beans cheese,11.2,4.3,2.3,4.1
vegetarian fillets,15.3,2.4,3.7,7.9
biscuit with egg sausage,33.6,10.4,16.2,4.8
chicken chow mein,16.9,3,3.7,7.4
fruit burrito,9.5,4.6,3.4,1.1
arroz con leche,9.3,4.8,2.6,1.1
caramel custard flan,12.3,5.5,3.9,1.2
gelatin dessert,0,0,0,0
chocolate milk dessert,1.4,0.8,0.5,0.084
chocolate mousse,24,13.7,7.5,1.3
dulce de leche,1.4,0.9,0.4,0.063
apple crisp,9.7,1.9,3.8,3.2
spinach spaghetti cooked,0.9,0.1,0.1,0.4
corn pasta cooked,1,0.1,0.3,0.5
spaghetti with meat sauce,2.9,1,0.9,0.9
pasta with meatballs in tomato sauce,13,5,5.7,0.9
cheese tortellini,7.8,3.9,2.2,0.5
pasta with sliced franks in tomato sauce,6,2.5,2.5,1
lasagna,6.1,2.9,2.2,0.5
macaroni cheese,9.4,3.1,4.2,2
vegetable lasagna,13.7,5.5,3.3,2.6
spinach egg noodles cooked,2.5,0.6,0.8,0.6
cheese lasagna,13,5.1,3.8,2.5
pasta with tomato sauce,1.8,0.4,0.3,0.5
spinach pasta cooked,0.3,0.078,0.073,0.043
vegetable chicken soup,4.8,1.4,2.2,1
bean ham soup,2.5,0.6,1,0.7
cream of chicken soup,14.5,4.3,5.2,2.7
tomato soup canned,3.3,1.8,0.8,0.3
egg drop soup,1.5,0.4,0.5,0.3
scotch broth,6.4,2.7,1.9,1.3
cream of onion soup,12.8,3.6,5.1,3.5
chicken broth dry,0.2,0.055,0.013,0.069
vegetable soup with beef broth,3.8,0.9,1.1,1.6
chili with beans canned,14.1,6,6,0.9
beef noodle soup,6.2,2.3,2.5,1
consomme dry,0.2,0,0,0
chicken mushroom soup,6.1,1.6,2.7,1.5
beef vegetable soup,2.9,1,0.7,0.9
black bean soup,3.4,0.9,1.2,1.1
split pea soup with ham bacon,3.1,0.9,1.2,0.6
cream of mushroom soup,13.4,2.4,3.1,7.3
green pea soup,5.7,2.7,1.9,0.7
chicken broth soup,2.6,0.8,1.2,0.6
chicken mushroom chowder soup,23.7,6.2,4.5,9.4
