food,Carbohydrates,Sugars
mushroom barley soup,29.3,0
gazpacho soup,6.6,2.2
beef mushroom soup,15.9,0
chicken rice soup,13,1.4
pepperpot soup,9.1,0
vegetable soup,24.6,7.9
chili beef soup,49.6,13.4
chicken soup,16.9,2.1
bean with frankfurters soup,22,0
pea soup,25.6,8.3
turkey soup,14.1,0
stockpot soup,23.1,0
hot sour soup,10.1,1
cheese soup,28,9.3
cream of potato soup,32.2,3.6
bean with bacon soup,16.4,0.6
fish stock,0,0
split pea soup with ham,56.2,0
beef broth soup,0.01,0
lentil soup with ham,20.2,0
tomato soup,22.5,12.2
fish broth,1,0.2
chili without beans canned,14.6,0
minestrone soup,22.6,3.7
clam chowder soup,24.5,6.8
tomato vegetable soup,9.9,2.4
cream of rice coup,28.1,0.022
cream of celery soup,17.7,3.4
chicken gravy,12.9,1.9
tomato rice soup,44.1,15.2
vegetable beef soup,9.6,0
tomato beef noodle soup,42.3,0
oyster stew soup,8.2,0
ramen noodle soup dry,53.9,1.3
chicken noodle soup,18.4,0
chicken bouillon dry,0.7,0.7
cream of asparagus soup,21.5,1.8
turkey noodle soup,17.3,1
cream of shrimp soup,16.5,0
bean with pork soup,44.1,7.8
chicken broth,1,0
beef broth powder,0.6,0.6
split pea soup,29.9,12.8
escarole soup,4,0
chicken stock,8.5,3.8
tomato bisque soup,47.7,0
shark fin soup,8.2,0
onion soup,16.4,6.7
chicken gumbo soup,16.8,4.9
crab soup,12.5,0
tripe soup,8.1,0
little india little lunch,2,0
original chicken sandwich chick fil a,0,0
sausage mcmuffin mcdonalds,28.2,2.2
sausage mcgriddles mcdonalds,42.2,15.2
crispy chicken drumstick kentucky fried chicken,0,0
chicken crispy drumsticks kentucky fried chicken,4.5,0
biscuit kentucky fried chicken,22.1,1.7
english muffin mcdonalds,2.9,1.5
french fries mcdonalds,49.8,0.2
hotdog,28.5,0
french fries burger king,28.6,0.4
original taco with beef cheese lettuce taco bell,13.7,0.6
hotdog with chili,31.3,0
