food,Carbohydrates,Sugars
rambutan canned,44.7,0
figs canned,3.8,3.2
prunes canned,65.1,0
pineapples canned,7.4,6.8
prune plums canned,7,6.5
tangerines canned,23.8,22.1
fruit cocktail canned,28.1,25.7
sour cherries canned,48.6,0
mangosteen canned,35.1,0
apricot juice,30.1,26.2
strawberries canned,59.8,55.4
peach canned,28.9,25.7
fruit salad canned,32.5,0
gooseberries canned,47.3,0
grapefruit canned,22.3,21.4
pear canned,9.8,7.4
raspberries canned,59.8,51.4
papaya canned,21.8,20.4
grapes canned,25.2,23.8
apple dried,39.1,34
peach dried,50.8,43.8
plantain chips,18.1,0.3
golden raisins,131.2,97.7
raisins seeded,129.5,0
zante currants dried,106.7,96.9
pear dried,25.1,22.4
raisins,23.8,19.6
prune plums dried,81.5,0
cranberries dried,98.8,78
figs dried,5.4,4
longans dried,1.3,0
banana chips,16.5,10
lychee dried,1.8,1.7
apricot dried,4.4,3.7
longan,0.5,0
mamey sapote,56.2,35.2
waxgourd cooked,4.3,2.1
jackfruit,8.1,6.7
loquats,2.4,0
mammy apple mamey,105.8,0
nance,19,9.3
coconut whole coconut,0,0
prickly pear,9.9,0
lychee,1.6,1.5
naranjilla lulo pulp,7.1,4.5
coconut meat dried,6.7,2.1
waxgourd raw,4,0
surinam cherry pitanga,0.5,0
passion fruit,4.2,2
sapodilla,33.9,0
pummelo,12,0
coconut meat,60.5,24.7
soursop,37.9,30.5
papaya,15.7,11.3
acerola cherry,0.4,0
ohelo berries,9.6,0
loganberries,19.1,11.3
casaba melon,11.2,9.7
durian,9.5,0
coriander leaves raw,0.6,0.1
garden cress raw,0.5,0.4
pasilla peppers dried,3.6,0
parsley dried,0.3,0.073
ancho pepper dried,8.7,0
coriander seeds,1,0
dill weed dried,55.8,0
borage,2.7,0
epazote,0.094,0
chives dried,0.1,0
thyme fresh,0.2,0
butterbur,0.5,0
wasabi root,30.6,0
rosemary dried,0.8,0
ginger root,0.4,0.019
white pepper,1.6,0
cloves ground,1.4,0.028
paprika,3.7,0.7
mace ground,2.7,0
bay leaf,0.4,0
eppaw,31.7,0
tarragon dried,0.3,0
ginger ground,1.3,0.067
savory ground,1,0
black pepper,1.5,0.08
spearmint fresh,0.5,0
poultry seasoning,2.9,0.1
nutmeg ground,1.1,0.6
curry powder,3.7,0.2
peppermint,0.2,0
salt,0,0
coriander leaves dried,0.3,0.045
sage ground,0.4,0.052
garlic powder,2.3,0.068
dill weed fresh,0.6,0
cardamom,1.4,0
saffron,0.5,0
allspice ground,1.4,0
parsley fresh,0.2,0.001
oregano dried,68.9,4.1
marjoram dried,1,0.077
chives raw,0.1,0.02
fireweed leaves,4.4,0
rosemary fresh,0.1,0
garlic,0.9,0.043
cinnamon ground,2.1,0.066
chervil dried,0.9,0
cayenne pepper,0.2,0.089
turmeric ground,1.4,0.062
mustard,0.3,0.048
chili powder,1.3,0.2
thyme dried,63.9,1.7
spearmint dried,0.3,0
basil dried,0.3,0.054
dandelion greens cooked,6.7,1.7
basil fresh,0.2,0.064
dock,4.3,0
garden cress cooked,5.1,4.2
onion powder,1.9,0.2
dandelion greens raw,5.1,0.4
yokan,8.5,0
fava beans cooked,33.4,3.1
french beans raw,118,0
chickpeas canned,57,0
yellow beans cooked,44.7,0
mung beans cooked,38.7,4
white beans canned,55.5,0.8
pink beans cooked,47.2,0.6
pink beans raw,134.8,4.5
navy beans raw,126.4,8.1
snap beans cooked,9.9,1.9
black eyed cowpeas raw,27.3,4.4
edamame cooked,13.8,3.4
black eyed cowpeas cooked,33.5,5.3
hyacinth beans cooked,40.2,0
cowpeas canned,32.7,0
pinto beans cooked,44.8,0.6
winged beans cooked,25.7,0
pinto beans raw,120.7,4.1
black turtle beans raw,116.4,3.9
fava beans raw,87.4,8.6
lima beans canned,35.9,0
hyacinth beans raw,127.6,0
white beans raw,121.7,4.3
snap beans canned,15.4,0
navy beans canned,53.6,0.7
mung beans raw,129.6,13.7
adzuki beans raw,123.9,0
black turtle beans cooked,45,0.6
pink lentils raw,113.6,0
yellow beans raw,119,0
white beans cooked,44.9,0.6
lentils raw,115.4,3.9
cranberry beans cooked,43.3,0
chickpeas raw,121.3,21.4
lentils cooked,39.9,3.6
baked beans canned,53.7,20.2
cranberry beans canned,39.3,0
black beans cooked,40.8,0
lima beans cooked,39.3,5.5
mungo beans raw,122.1,0
pigeon peas raw,128.7,0
fava beans canned,31.8,0
yellow snap beans raw,7.1,0
snap beans raw,7,3.3
yellow snap beans canned,8.4,0
pigeon peas cooked,39.1,0
catjang cowpeas raw,99.6,0
navy beans cooked,47.4,0.7
mothbeans raw,120.6,0
cowpeas cooked,14.5,2.3
mothbeans cooked,37.1,0
french beans cooked,42.5,0
lima beans raw,112.8,15.1
winged beans raw,75.9,0
adzuki beans cooked,57,0
black beans raw,121,4.1
catjang cowpeas cooked,34.7,0
baby lima beans cooked,35,2.5
cowpeas raw,8.9,4.7
shellie beans canned,15.2,1.5
yardlong beans raw,103.4,0
pinto beans canned,36.4,2.4
chickpeas cooked,45,7.9
cranberry beans raw,117.1,0
mungo beans cooked,33,3.6
tamarinds,1.3,0.8
yellow snap beans cooked,9.9,4.5
yardlong beans cooked,36.1,0
bacon beef steak,0.2,0.2
lamb foreshank raw,0,0
bacon,0.2,0.2
lamb rib cooked,0,0
lamb shank raw,0,0
scrapple,4,0.063
chicken nuggets,3,0.039
ground lamb cooked,0,0
lamb meat cooked,0,0
meat extender,33.7,0
lamb leg raw,0,0
lamb loin cooked,0,0
chicken patty,7.7,0
lamb shank roasted,0,0
barbecue loaf,1.5,0
lamb sirloin cooked,0,0
poultry salad,1,0
ground lamb raw,0,0
lamb loin raw,0,0
lamb sirloin raw,0,0
sausage patty mcdonalds,0.4,0.1
lamb foreshank cooked,0,0
ham salad,4.8,0
lamb rib raw,0,0
lamb shoulder raw,0,0
lamb meat raw,0,0
lamb shoulder cooked,0,0
mutton cooked,0.027,0
lamb leg cooked,0,0
beef stick,1.1,0
veal sirloin cooked,0,0
veal rib cooked,0,0
veal meat cooked,0,0
beef rib roasted,0,0
veal sirloin raw,0,0
beef top loin filet grilled,0.8,0
beef under blade steak cooked,0,0
mock tender steak raw,0,0
ground beef cooked,0,0
ground beef raw,0,0
beef diced asda,10.5,0.054
veal rib raw,0,0
ground veal raw,0,0
t bone steak cooked,0,0
veal leg round raw,0,0
beef top sirloin steak raw,0,0
beef plate steak grilled,0,0
ground veal cooked,0,0
veal leg round cooked,0,0
porterhouse steak raw,0,0
veal shank raw,0,0
veal breast cooked,0,0
corned beef canned,0,0
rib eye steak grilled,0,0
veal shoulder raw,0,0
t bone steak raw,0,0
sirloin steak,0,0
mock tender steak cooked,0,0
beef round steak cooked,0,0
chuck blade roast raw,0,0
beef shoulder steak raw,0,0
beef top blade cooked,0,0
corned beef cooked,0.006,0
beef round steak raw,0,0
beef shoulder steak grilled,0,0
chuck eye steak raw,0,0
beef bottom round steak cooked,0,0
porterhouse steak cooked,0,0
beef under blade steak raw,0,0
beef plate steak raw,0.9,0
beef meat canned,0,0
beef breakfast strips raw,0.2,0
beef brisket cooked,0,0
corned beef raw,0.6,0
beef mince meat asda,6.8,0.054
pastrami beef fat free,0.1,0
rib eye steak raw,0.4,0
beef tenderloin steak cooked,0,0
chuck blade roast cooked,0,0
cured beef dried,0.06,0.006
beef flank steak cooked,0,0
chuck eye steak grilled,0,0
veal meat raw,0,0
veal loin cooked,0,0
veal loin raw,0,0
veal shoulder cooked,0,0
beef tenderloin steak raw,0,0
veal shank cooked,0,0
beef brisket raw,0,0
pastrami beef,0.3,0.08
beef flank steak raw,0,0
beef top sirloin steak cooked,0,0
veal breast raw,0,0
beef rib raw,0,0
beef jerky,2.2,1.8
beef breakfast strips cooked,0.2,0
pork olive loaf,2.6,0
beef luncheon meat jellied,0,0
turkey pastrami,0.5,1
pork salami,0.2,0
canadian style bacon raw,0.5,0
honey loaf,2.6,2.6
pork beef salami,0.076,0.008
beef pork bologna,1.6,1.3
pork beef salami cooked,0.3,0.1
pork breakfast strips raw,0.2,0
pickle pimiento loaf,3.2,3.2
luxury loaf,1.4,0
mortadella,0.5,0
pork bologna,0.2,0
turkey salami cooked,0.081,0.063
pepperoni beef,0,0
peppered loaf,1.3,1.3
luncheon meat beef,0,0
lebanon bologna,0.3,0
chicken pork bologna,1.2,0
turkey roll,0.6,0
beef salami cooked,0.5,0.4
yachtwurst cooked,0.8,0
italian salami,0.1,0.1
turkey ham,0.3,0.1
turkey bologna,1.3,0.8
sliced turkey breast,0.4,0.1
luncheon meat pork beef,0.7,0
beef bologna,1.3,0.6
turkey bacon cooked,2.5,0
ground emu cooked,0,0
ostrich leg raw,0,0
ostrich strip raw,0,0
emu fillet cooked,0,0
ostrich tenderloin raw,0,0
emu drums cooked,0,0
green turtle raw,0,0
ground bison cooked,0,0
goat meat raw,0,0
ground emu raw,0,0
ground ostrich raw,0,0
ostrich tip cooked,0,0
caribou cooked,0,0
ground ostrich cooked,0,0
ostrich leg cooked,0,0
ostrich top loin cooked,0,0
ostrich strip cooked,0,0
ostrich tip raw,0,0
ostrich round raw,0,0
ground bison raw,0.099,0
ostrich fan raw,0,0
ostrich top loin raw,0,0
veal brain cooked,0,0
veal tongue cooked,0,0
beef heart cooked,0.057,0
turkey liver cooked,0,0
veal thymus cooked,0,0
beef brain cooked,0,0
beef pancreas cooked,0,0
beef tripe cooked,1.7,0
chicken gizzard cooked,0,0
pork pancreas cooked,0,0
beef tongue cooked,0,0
lamb heart cooked,3.7,0
beef spleen cooked,0,0
veal kidneys cooked,0,0
chicken heart cooked,0.1,0
lamb tongue cooked,0,0
veal heart cooked,0.3,0
chicken liver cooked,0.5,0
lamb pancreas cooked,0,0
veal spleen cooked,0,0
lamb liver cooked,8.5,0
turkey gizzard cooked,0,0
lamp spleen cooked,0,0
turkey heart cooked,0,0
beef liver cooked,3.5,0
lamb lungs cooked,0,0
pork brain cooked,0,0
goose liver,5.9,0
pork kidneys cooked,0,0
lamb brain cooked,0,0
pork heart cooked,0.6,0
lamb kidneys cooked,2.5,0
beef lungs cooked,0,0
veal pancreas cooked,0,0
pork liver cooked,13.3,0
beef kidneys cooked,0,0
turkey giblets cooked,0,0
duck liver raw,1.6,0
veal liver cooked,3,0
pork lungs cooked,0,0
veal lungs cooked,0,0
beef thymus cooked,0,0
ham,1,0.3
pork meat cooked,0,0
bacon roasted,0.1,0
pork top loin roasts raw,0,0
pork blade roll raw,0,0
pork backribs raw,0,0
pork spareribs cooked,0,0
pork stomach cooked,0.029,0
honey smoked ham cooked,4,0
boston butt steak raw,0,0
pork sirloin chops cooked,0,0
pork country style ribs raw,0,0
ham patties,1.1,0
pork feet cooked,0,0
ground pork cooked,0,0
pork centre loin chops cooked,0,0
pork leg cap steak cooked,0,0
pork blade chops raw,0,0
pork tenderloin raw,0,0
pork sirloin chops raw,0,0
pork leg cap steak raw,0,0
pork carcass raw,0,0
pork splean cooked,0,0
chopped ham,1.2,0
pork centre loin chops raw,0,0
pork blade chops cooked,1.1,0
boston butt steak cooked,0,0
pork meat raw,0,0
pork top loin chops raw,0,0
pork blade steak braised,0.087,0
pork boston steaks cooked,0,0
bacon cooked,0.068,0
pickled pork hocks,0,0
pork boston roast cooked,0,0
canadian style bacon grilled,0.3,0
ham steak,0,0
pork backfat,0,0
bacon baked,0.1,0
pork arm picnic raw,0,0
salt pork raw,0,0
pork arm picnic cooked,0,0
pork top loin chops cooked,0,0
ground pork raw,0,0
pork shoulder raw,0,0
pork chitterlings cooked,0,0
pork breakfast strips cooked,0.1,0
pork blade roll roasted,1.4,0
pork tail cooked,0,0
pork centre rib roasts raw,0,0
pork centre rib roasts roasted,0,0
minced ham,0.4,0
ham roasted,0.6,0
pork loin raw,0,0
pork backribs roasted,0,0
pork belly raw,0,0
ham raw,0.046,0
ham extra lean,0.6,0
pork feet pickled,0.029,0
pork shoulder cooked,0,0
pork top loin roasts roasted,0,0
pork skin,0,0
pork country style ribs cooked,0,0
pork blade steak raw,0.6,0
pork tenderloin cooked,0,0
pork loin cooked,0,0
pork ears cooked,0.2,0
pork tongue cooked,0,0
pork spareribs raw,0,0
ham patties grilled,1,0
chicken skin roasted,0,0
turkey breast raw,0,0
ground turkey raw,0,0
chicken wing cooked,0,0
turkey roast roasted,4.1,0
pheasant meat raw,0,0
chicken back raw,0,0
chicken back cooked,0,0
chicken leg fried,13.8,0
chicken feet cooked,0.9,0
turkey steak fried,10.9,0
turkey taco meat cooked,5.5,0
chicken leg raw,0.6,0
chicken meat raw,0,0
chicken neck cooked,0,0
chicken drumstick fried,6,0
quail egg,0.08,0.048
duck meat cooked,0,0
chicken wing roasted,0,0
quail meat cooked,0,0
goose meat cooked,0,0
chicken breast cooked,0,0
chicken neck raw,0,0
duck egg,1,0.7
pheasant breast raw,0,0
duck meat raw,0,0
squab meat raw,0,0
chicken drumstick raw,0.1,0
turkey meat roasted,0.031,0
chicken breast raw,0,0
ground chicken cooked,0,0
turkey wing cooked,0,0
goose meat raw,0,0
turkey breast roasted,0,0
chicken fajita strips,0.2,0
crispy chicken strips tyson,0,0
chocolate pudding fat free,23.6,17.8
tapioca pudding,23.9,16.4
tapioca pudding fat free,23.9,15.9
rice pudding,20.8,13.1
corn pudding,42.4,16.5
chocolate pudding,34.5,25.8
lemon pudding,30.2,0
vanilla pudding,33.9,25.5
profeel proteiinirahka valio,19.3,0.2
cottage cheese creamed,0.7,0.5
zaziki milfina,0,0
cottage cheese low fat,6.1,6.1
cottage cheese nonfat,9.7,2.7
vanilla yogurt low fat,33.8,33.8
classique yogurt plain 2 liberte,1.7,1.7
yoplait light strawberry yogurt yoplait,0.074,0
vanilla yogurt,23.5,23.5
chocolate yogurt,35.3,22.5
yogurt parfait,23.6,17.4
yogurt,7,7
chocolate frozen yogurt,37.6,33.5
frozen yogurt,37.6,34.7
yogurt low fat,17.2,17.2
vanilla yoghurt oikos,0,0
fruit yogurt,28,28
danone low fat alsafi,0.089,255
fruit n yogurt parfait mcdonalds,30.9,19.1
triple zero greek yogurt dannon oikos,22.5,6
greek yogurt,6.1,5.5
chocolate rasberry protein mini proteinfx,0,0
gushers fruit gushers,0.2,0
egg fried,0.4,0.2
glucerna abbott,120.9,49.8
sports drink,7.2,0
peanut butter cookie protein syntha 6,5,0
hanfprotein pulver rohkostqualitat veganz,14.2,0.057
smoothie high protein creamy chocolate slimfast,2.1,1
egg large,0,0
boysenberries frozen,16.1,9.1
malt beverage,19.1,19.1
chocolate powder for milk,19.9,18
vegetable fruit juice,2.2,0.6
cocoa powder unsweetened,3.1,0.087
coconut milk,0.8,0.5
cocoa powder,5.9,4.6
rice drink,22,12.7
coconut water,8.9,6.3
caramel med iced coffee dunkin donuts,0,0
instant coffee with water decaffeinated,0.8,0
instant coffee powder,75.4,0
instant coffee powder decaffeinated,1.4,0
instant cappuccino powder,11.2,9
coffee decaffeinated,0,0
espresso decaffeinated,0.5,0
instant coffee with water,0.6,0
coffee,0,0
espresso,0.5,0
whey protein powder vanilla eas,0,0
energy drink sugar free red bull,1.8,0
powerade coca cola,2.3,1.8
amp energy pepsi,29,29
gatorade g2 pepsi,0.6,0.4
amp energy sugar free pepsi,2.5,0
energy drink red bull,26.4,26.4
powerade zero ion4 coca cola,0,0
full throttle coca cola,29,29
passion fruit juice purple,35.7,35.2
pomegranate juice,32.7,31.5
cranberry apricot juice,39.7,0
pineapple juice,32.2,25
passion fruit juice yellow,33.6,33.1
orange apricot juice,31.8,30.2
tangerine juice,24.9,24.5
orange juice,20.8,16.8
grapefruit juice,22.7,0
pineapple grapefruit juice,29,28.8
tamarind nectar,37,31.9
apple juice,28,23.9
limeade,34.1,32.8
guava nectar,40.8,32.5
orange grapefruit juice,25.4,25.1
orange juice sainsburys,0,0
cranberry apple juice,38.8,35.5
pineapple orange juice,29.5,29
pear nectar,39.4,0
blackberry juice,19.5,19.3
lemon juice,16.6,6.1
cranberry grape juice,34.3,0
citrus fruit juice,28.3,20.2
prune juice,44.7,42.1
guanabana nectar,37.5,32.8
fruit juice,26.3,24.2
horchata,3.3,2.6
fruit punch,24.4,0
apricot nectar,35.7,34.2
orangensaft ja,1.4,0.024
fruchtcocktail granini,1,0
peach nectar,29.7,27.8
orange pineapple juice,3.6,3.1
cranberry juice,24.4,24.2
white grapefruit juice,22.7,22.5
mango nectar,32.9,31.2
acerola cherry juice,11.6,10.9
apple juice concentrate,86.5,81.9
papaya nectar,36.3,34.8
apple juice martinellis,0,0
lime juice,20.4,4.1
grape juice,37.4,35.9
water dannon,0,0
tap water,0,0
table water,0,0
fruit flavored water,13,13
water,0,0
cola light coca cola,0,0
lemon lime soda,38.4,37.6
tonic water,29.6,29.6
lemonade low calorie,1.6,0
ginger ale,17.5,17.4
ice tea lemon flavor nestle,22.3,22.3
sprite coca cola,20.3,18
cola coca cola,38.9,38.9
cola,19.1,17.9
cream soda,65.7,65.7
club soda,0,0
pink lemonade,21.6,20.6
grape soda,41.7,0
cola without caffeine coca cola,38.9,38.9
white lemonade,20.8,20
chocolate soda,52.6,52.6
sweet tea lipton,35,35
hibiscus tea,14.8,12
instant lemon tea,0.3,0.047
pesca tea santal,0,0
instant lemon tea sweetened,22.3,21.6
tea with milk and sugar yorkshire,0.4,0
tea blueberry muffin tekanne,0.4,0.007
chamomile tea,0.4,0
black tea,0.7,0
herb tea,0.4,0
clam tomato juice,18.2,5.5
tomato juice,8.6,6.3
vegetable juice,11.1,7.9
tomato vegetable juice,11.1,9.2
carrot juice,18.6,7.8
acorn dried,15.2,0
fenugreek seeds,6.5,0
peanut topping mcdonalds,4.6,1.2
beechnuts dried,10.1,0
breadnut tree seeds raw,13.1,0
cumin seeds,0.9,0.063
pili nuts dried,4.8,0
hazelnuts roasted,5.3,1.5
lupins cooked,15.4,0
hazelnuts blanched,4.8,1
brazilnuts dried,0.6,0.1
sunflower seeds dry roasted,1.9,0.2
ginkgo nuts canned,34.3,0
peanuts cooked,38.3,4.4
pumpkin squash seeds dried,13.8,1.8
cashew nuts raw,8.5,1.7
sunflower seeds dried,9.2,1.2
lotus seeds dried,20.6,0
butternuts dried,14.5,0
sesame seeds dried,2.1,0.031
breadfruit seeds,8.8,0
pinyon pine nuts dried,0.01,0
pine nuts dried,17.7,4.8
flaxseeds,3,0.2
safflower seed kernels dried,9.7,0
pistachio nuts raw,33.8,9.4
peanuts raw,23.5,5.8
poppy seeds,2.5,0.3
valencia peanuts raw,30.5,0
spanish peanuts,23.1,0
dill seeds,3.6,0
caraway seeds,3.3,0.038
acorn raw,11.5,0
almonds roasted,5.3,1.4
lotus seeds raw,4.9,0
chestnuts cooked,7.9,0
alfalfa seeds,0.002,0.058
virginia peanuts roasted,6,0
hazelnuts raw,12.5,3.3
anise seeds,1.1,0
macadamia nuts roasted,4,1.2
studentenfutter alnatura,13.2,11.7
pumpkin squash seeds roasted,1.2,0.1
water chestnut raw,29.7,6
chestnuts roasted,7.9,1.6
ginkgo nuts raw,10.6,0
almonds raw,0.3,0.026
peanuts roasted,4.6,1.3
sunflower seeds toasted,27.6,0
sisymbrium seeds,43.1,0
breadnut tree seeds dried,127,0
pecans raw,15.1,4.3
chia seeds dried,11.9,0
japanese chestnuts roasted,12.8,0
sesame seeds toasted,2.1,0
cashew nuts roasted,9,1.5
lupins raw,72.7,0
mustard seeds ground,0.6,0.1
mixed nuts roasted,7.6,1.4
salat mix alestro,2.4,0
chestnuts raw,66,0
pistachio nuts roasted,8.5,2.3
walnut,0.7,0.1
celery seeds,2.7,0.078
hickorynuts dried,21.9,0
spanish peanuts roasted,25.7,0
woca seeds dried,22.6,0.1
pecans roasted,3.9,1.2
fennel seeds,1,0
chinese chestnuts roasted,14.8,0
watermelon seed kernels dried,16.5,0
macadamia nuts raw,0.7,0.2
pectin,45.2,0
black walnut dried,0.5,0.018
water chestnut canned,17.2,3.4
ginkgo nuts dried,20.5,0
virginia peanuts raw,24.1,5.8
valencia peanuts roasted,4.9,0
nesfit diet cereal nestle,0,0
corn grits cooked,37.9,0.3
amaranth flakes,27,0.2
granola,32.3,11.9
muesli with fruit nuts,45.7,14.2
muesli master crumble,4.5,0.042
bran flakes,32.2,7.4
nut cereal,46.2,17.2
corn flakes,24.6,2.2
corn grits dry,7.7,0.008
margarine with yoghurt,0.073,0
sunflower seed butter,3.7,1.7
hazelnut oil,0,0
menhaden fish oil,0,0
cod liver fish oil,0,0
sardine oil,0,0
cupu assu oil,0,0
lard,0,0
sesame butter,3.8,0
margarine spread,0.1,0
lard vegetable oil,0,0
shortening,0,0
vegetable oil spread,0.1,0
cottonseed oil,0,0
vegetable oil spread fat free,0.4,0
soy margarine,0,0
margarine with salt,0.017,0
margarine,0.018,0
salmon fish oil,0,0
nutmeg butter oil,0,0
almond butter,3,0.7
sour cream shoprite,1,0.014
ucuhuba butter oil,0,0
chicken fat,0,0
herring fish oil,0,0
bacon grease,0,0
turkey fat,0,0
beef tallow,0,0
goose fat,0,0
duck fat,0,0
mutton tallow,0,0
grapeseed oil,0,0
sheanut oil,0,0
almond oil,0,0
sunflower oil,0,0
cashew butter,4.4,0.8
canola oil,0,0
babassu oil,0,0
teaseed oil,0,0
avocado oil,0,0
vegetable palm kernel oil,0,0
coconut oil,0,0
safflower oil,0,0
vegetable oil,0,0
apricot kernel oil,0,0
peanut oil,0,0
poppyseed oil,0,0
flaxseed oil,0,0
tomatoseed oil,0,0
wheat germ oil,0,0
sesame oil,0,0
corn granola oil,0,0
cocoa butter oil,0,0
olive oil,0,0
palm kernel oil,0,0
mustard oil,0,0
rice bran oil,0,0
vegetable macaroni dry,62.9,0
chow mein noodles,37.5,0.5
chinese noodles,111.9,0
vegetable macaroni cooked,35.7,1.5
corn pasta dry,83.2,0
egg noodles dry,27.1,0.7
whole wheat spaghetti dry,21.2,0
japanese soba noodles dry,21.1,0
rice noodles dry,23.6,0
spinach spaghetti dry,21.2,0.8
egg noodles cooked,20.1,0.3
japanese somen noodles cooked,48.5,0
whole wheat macaroni dry,78.8,0
pasta marinara and ground beef sauce,4.1,1
macaroni raw,78.4,2.8
spaghetti dry,21.1,0.8
fusilli cucina,3.4,0.041
japanese somen noodles dry,21,0
pasta cooked,57.3,0
macaroni cooked,43.2,0.8
spinach egg noodles dry,26.7,0
japanese soba noodles cooked,24.4,0
rice noodles cooked,42.3,0.052
whole wheat macaroni cooked,37.2,1.1
spaghetti cooked,71,1.3
whole wheat spaghetti cooked,37.2,1.1
waffle,24.7,0
baked taco shell,8.3,0.2
puff pastry,112,1.8
blueberry muffin,30.2,17.9
bread crumbs,77.7,6.7
warm cinnamon roll mcdonalds,15,7
corn muffin,33.7,11.7
tortilla,98.4,5.4
croutons seasoned,25.4,1.8
buttermilk waffle,16,1.5
flour tortilla,24.1,1.3
glazed donut,6.2,3
corn tortilla,10.7,0.2
muffin,23.6,0
croutons,5.9,0
donut with jelly filling,33.2,17.9
sweet cinnamon rolls,42.2,26.3
oat bran muffin,8.2,1.4
french cruller donut,24.4,14.4
pancakes,10.8,0
chocolate donut,34.4,19.2
sweet cheese rolls,28.8,0
eclair,11.2,2
donut with cream filling,25.5,12.4
fruit toaster pastry,37.1,14.8
donut,22.9,0
pancakes whole wheat,12.9,0
keikitos,22.3,10.8
zwieback,5.2,0.9
chocolate coated donut,9.2,4.8
waffle toasted,16.3,1.7
cinnamon toaster pastry,34.1,0
wheat bran bread,17.2,3.5
white bread,14.3,1.6
oat bran bread,11.9,2.3
whole wheat bread natures own,0,0
high protein bread dr zaks,15.3,0.6
wheat bread,13.8,1.7
egg bread toasted,19.5,0.7
butter toastbrot ja,2,0.4
vienna bread toasted,18,1
vienna bread,18.1,0.8
protein bread,8.3,0.3
banana bread,31.1,0
rice bran bread,11.7,1.3
white fibre wonder bread,18,2
focaccia,20.4,1
oat bran bread toasted,11.8,2.3
rye bread,15.5,1.2
wheat germ bread,13.5,1
protein bread toasted,8.2,0.2
oatmeal bread,13.1,2.2
arepa,36.4,0.9
raisin bread toasted,16.5,1.8
cracked wheat bread,14,0
garlic bread,17.9,1.6
rye bread toasted,15.4,1.2
whole wheat bread,23.6,1.8
whole wheat bread toasted,23.7,1.8
pan dulce bread,35.5,7.9
rice bran bread toasted,11.8,1.3
pita bread whole wheat,15.4,0.2
wheat germ bread toasted,13.6,1
pumpernickel bread,12.4,0.1
frybread,73.4,3.1
white bread toasted,15.4,1.3
piki bread,20.2,0.4
wheat bread toasted,13.4,1.5
pita bread,33.4,0.8
potato bread,15.1,3
egg bread,19.1,0.7
oatmeal bread toasted,13.2,2.2
cheese bread,21.5,1
pumpernickel bread toasted,15.1,0.2
raisin bread,16.7,1.8
pumpernickel roll,14.8,0.1
cinnamon raisin bagel,14.4,1.6
english muffin,25.5,0.9
rye dinner roll,22.8,0.5
english muffin whole wheat,26.7,5.3
dinner roll whole wheat,14.3,2.4
dinner roll,12.9,0.5
hotdog roll,21.1,3.1
bagel,47.9,6
oat bran bagel,36.8,1.1
pain au chocolat de la boulangerie,0,0
egg bagel,13.8,0
english muffin toasted,27.4,1.8
english muffin whole wheat toasted,26.9,5.4
biscuit,45,2.2
french roll,19.1,0.1
oat bran dinner roll,13.3,2.2
pecan shortbread cookies,8.2,0
oatmeal cookies,17.2,6.2
chocolate wafers,81.1,33.2
vanilla wafers low fat,58.9,30
chocolate chip cookies mcdonalds,18.7,9.6
gingersnap cookies,5.4,1.4
biscotti abbracci mulino bianco,0.8,0.051
chocolate chip cookie,9.3,5.3
brownie,38.3,22
shortbread cookies,5.2,1.2
oatmeal cookies with raisins,10.3,0
peanut butter sandwich cookies,9.2,5
sugar cookies,10.2,5.7
chocolate covered graham crackers,9.3,5.8
raisin cookies,10.2,7.1
vanilla wafers,4.3,0
graham crackers,64.5,26.1
peanut butter cookies,11.8,0
vanilla sandwich cookie,10.8,5.9
sugar wafers with creme filling,7.1,4.3
cheese puffs,18.6,1.1
saltine crackers,2.2,0.063
trail mix,13.5,0
corn cones,17.8,0
chocolate pretzels,7.8,0
french toast sticks,8.9,2.1
crackers,9.8,1.3
sesame sticks,4.7,0.084
cheese crackers,4.2,0.3
oriental rice cracker mix,14.6,0.8
breadsticks,17.1,0.3
milk crackers,7.7,1.8
matzo crackers whole wheat,22.1,0
matzo crackers with egg,22,0
granola bites,3.3,1.5
crackers whole wheat,19.5,0.3
tropical trail mix,91.8,0
soft pretzels,79.8,0.3
corn tostada shell,7.9,0
matzo crackers,23.4,0.098
sesame crunch,0.9,0.6
trail mix with chocolate chips,65.6,0
cracker meal,93,0.4
puffed rice,34.1,0
filinchen gutena,0.5,0.028
melba toast crackers,23,0.3
matzo crackers with egg onion,21.6,0
cornnuts,20.3,0.2
bagel chips,116.1,10.5
pretzels,24.1,0.7
potato raw,37.2,1.7
gatto di patate home made,4,3.6
baked potato,36.6,2
potato sticks,19.2,0.006
potato cooked,12.1,0.5
vivaldi potatoes sainsburys,0,0
potato ham chowder soup,13.4,0
russet potato raw,66.7,2.3
russet potato baked,64.1,3.2
french fries,2.2,0.088
potato scalloped,26.4,0
cottage fries,1.9,0.019
mashed potatoes,35.5,1.2
mashed potato with milk and butter,35.3,3
red potato raw,33.9,2.7
potato pancake,6.1,0.4
potato puffs,35.5,0.3
red potato baked,16.7,1.2
potatoes canned,29.7,0
potato skin raw,4.7,0
shoestring french fries,0.7,0.062
hash brown potato,15.3,0.3
baked chips lays,0,0
corn chips,17.2,0.031
nacho cheese tortilla chips low fat,18.5,0.8
corn chips barbecue,111.3,0
corn chips unsalted,50.5,1.2
potato chips fat free,190.1,8.4
sweet chilli kettle baked chips,2.1,0.4
taro chips,1.6,0.04
potato chips reduced fat,113.7,0.4
onion snacks,19.5,1.4
potato chips cheese,98.1,0
yuca cassava chips,1.2,0.006
